Job Title,Company,Description
IT & Data Analyst INTERN - Morocco - job post,Smollan North Africa,At Smollan  we re on an evolutionary journey where we re shifting our story  We re looking for truly unique people who believe in fostering a diverse and inclusive environment  Where our people are cared for  happy and inspired in building an extraordinary place to work  We re on the looking for qualified graduates with completed degree to join our subsidiary in Morocco as an IT   Data Analyst Intern     What are we looking for  To qualify for this role  you should   Be able to work full time Strong communication skills in English and French verbal   written  Flexibility and going the extra mile to achieve desired results Excellent skills using MS Suite  especially excel and PowerBI  0   3 months experience internships Completed university qualification  Degree and above  Effective analysis and report writing skills actioning and administrative structures   UI experience Knowledge of key programming language e g  Python  VBA etc  Analysis   Problem Solving Planning   organising Ability to follow instructions   procedures Ability to cope with pressure Presentation Skills Ability to carry out research  What s in it for you   Full time paid internship with a global organisation To gain exposure and experience in all areas within our business through the participation in this internship programme  Access to large data base and adding valuable impact
Internship Offer Blockchain Developer (Remote) - job post,FeverTokens,FeverTokens is a French Blockchain company that offers pioneering open source solutions for web3 development  utilizing cutting edge smart contract and formal verification technologies  It positions itself to be the leading fabric of advanced  application level blockchain protocols  especially for real world asset tokenization  Our protocol builder already underpins highly scalable and sophisticated tokenization projects  Our unique deeptech approach enables both functional scalability and enterprise grade  built in security with formal verification  With FeverTokens  builders have access to a full suite no code solution to build sophisticated web3 applications with scalability  high flexibility  security  and speed being the stand out qualities  Our solutions make customizing advanced smart contracts exceedingly easy for everyone  We are looking for a motivated and talented intern to join our team and work on an exciting project related to blockchain and supply chain  If you are interested in learning and applying cutting edge technologies in a real world scenario  this internship is for you  The project aims to build a secure  open source  and package driven blockchain infrastructure for supply chain  Responsibilities   Selecting the best option to deploy a permissioned enterprise grade EVM compatible blockchain  Hyperledger Fabric with evm chaincode  Hyperledger Besu  or Hyperledger Sawtooth Evaluating AWS Managed Blockchain solutions and their benefits Setting up a deployment pipeline on AWS and ensuring its reliability Designing how to access and manage wallets securely and efficiently Developing smart contracts to deploy on the blockchain and running tests to ensure their functionality and security  Requirements   Enrolled in a Bachelor s or Master s degree in Computer Science or any related field  Strong programming skills  Knowledge of Solidity  Hardhat and OpenZeppelin  Experience with modern frameworks  Familiarity with version control systems  Git and GitHub   Good communication and problem solving skills  Self motivated  proactive  and able to work in a fast paced  collaborative environment  Knowledge of web 3 0 and familiarity with blockchain technologies   The internship will provide you with the opportunity to learn about blockchain technology  supply chain management  and AWS  You will also gain practical skills in blockchain development  deployment  and testing  You will work closely with our experienced mentors who will guide you and support you throughout the project  The internship duration is 6 months  starting from January or February 2024  The internship is remote  but you will need to have a stable internet connection and a laptop that can run the required software  Job Type  InternshipContract length  6 months Application Question s    Are you currently enrolled in an academic institution  What is your preferred starting date  The minimum internship duration is 6 months  does that suit you   Education   Bachelor s  Preferred 
Assistante Administration des Ventes pour une société à LISSASFA - job post,CRIT MAROC,Nous recrutons pour l un de nos clients une Assistante Administration des Ventes   En tant qu Assistante ADV  vous serez en charge de garantir la gestion et le suivi des commandes clients  en assurant un lien constant entre les services commerciaux  logistique et finance  Vous travaillerez au sein d un environnement en plein développement et aurez l opportunité d acquérir des compétences solides dans le domaine de l administration des ventes  Vos missions    Saisir et traiter les commandes clients dans le système de gestion  Suivre l avancement des commandes et garantir les délais de livraison  Gérer les demandes de devis et les relances clients  Assurer le suivi des paiements et des encaissements  Préparer les documents nécessaires pour les expéditions et la facturation  Assister l équipe commerciale dans la gestion des stocks et des approvisionnements  Répondre aux demandes des clients  suivi de commande  gestion des litiges  etc    Participer à l élaboration de reporting et de tableaux de bord   Profil recherché    Formation Bac  2 3 en Commerce  Gestion ou Administration des Ventes  Première expérience dans un poste similaire ou stage en administration des ventes  idéalement   Maîtrise des outils bureautiques  Excel  Word  et une bonne aisance avec les logiciels de gestion  ERP   Sens du service client  rigueur et esprit d équipe  Bonnes capacités organisationnelles et communicationnelles  La connaissance de l anglais est un plus   Type d emploi   Temps plein Rémunération   4 000 00DH à 5 000 00DH par mois Date limite de candidature   20 11 2024
Back Office Francophone - job post,HR HUB,Description du poste Nous recherchons un e  collaborateur rice  Back Office francophone motivé e  pour rejoindre notre équipe dynamique  Vous serez responsable de la gestion et du suivi des opérations administratives  en soutien à nos équipes opérationnelles et commerciales  Missions principales  Traiter les demandes administratives et assurer le suivi des dossiers clients  Vérifier et mettre à jour les données dans les systèmes internes  Collaborer avec les équipes internes pour garantir une fluidité dans les opérations  Préparer et transmettre les rapports réguliers et les tableaux de bord  Assurer le respect des processus et des délais établis   Profil recherché  Formation   Bac 2 3 en gestion  administration ou domaine similaire  Expérience   Une première expérience en Back Office ou en support administratif est un atout  Compétences   Maîtrise du français à l écrit et à l oral  Bonne connaissance des outils bureautiques  Excel  Word  ERP est un plus   Rigueur  sens de l organisation et attention au détail  Capacité à travailler en équipe et sous pression   Ce que nous offrons  Un environnement de travail stimulant et bienveillant  Une rémunération attractive  avec des avantages sociaux compétitifs  Des opportunités de développement professionnel au sein d une entreprise en croissance   Type d emploi   Temps plein
Stage pré embauche gestionnaire administratif - job post,HOUSSNIJOB,une entreprise à casa recrute un e  Stagiaire Gestionnaire Administratif ve  en Pré Embauche Rejoignez notre équipe dynamique et acquérez une expérience solide dans le domaine administratif   Vos missions    Gestion administrative quotidienne  Vous assisterez les équipes dans leurs tâches administratives courantes  gestion du courrier  classement  archivage  etc    Support à la gestion des projets  Vous participerez à la coordination de projets spécifiques et assurerez un suivi rigoureux  Accueil et orientation  Vous accueillerez les visiteurs et répondrez à leurs demandes  Gestion des fournisseurs  Vous serez en charge du suivi des commandes et des relations avec les fournisseurs  Participation à la préparation de réunions et de présentations  Vous assisterez les responsables dans la préparation de réunions et d événements   Votre profil    Bac 2 en gestion administrative  assistanat de direction ou équivalent  Maîtrise des outils bureautiques  Word  Excel  PowerPoint   Sens de l organisation La maîtrise des logiciels de gestion  CRM  ERP  est souhaitable   Excellent relationnel et aisance à la communication  Esprit d équipe Maîtrise de français à l écrit et à l orale  Modalités   Durée  3 mois contrat   stage rémunéré Rémunération  stage rémunéré Type d emploi   Temps plein  Stage
Logistics - job post,Somo Solutions,Offre d Emploi   Agent de Logistique à Casablanca  Aïn Sebaâ PosteAgent de Logistique  H F Description du posteNous recrutons un e  Agent de Logistique pour rejoindre notre équipe à Aïn Sebaâ  Casablanca  Votre rôle consistera à assurer la gestion des marchandises  depuis leur réception jusqu à leur expédition  en respectant les normes de qualité et de sécurité Missions principalesProfil recherchéAvantagesConditionsComment postuler  Envoyez votre CV et Réception et vérification des marchandises  Stockage organisé des produits dans l entrepôt  Préparation et emballage des commandes pour expédition  Suivi des flux de stocks à l aide d outils informatiques  ERP  scanners   Participation aux inventaires périodiques  Respect des consignes de sécurité et des procédures internes  Niveau d études   Bac 2 en logistique ou expérience équivalente  Bonne maîtrise des outils informatiques  Word  Excel  ou logiciels de gestion   Expérience dans un poste similaire  minimum 1 an souhaité   Capacité à gérer des charges physiques modérées  Atouts   permis cariste ou expérience en gestion de stock  Dynamisme  organisation et esprit d équipe  Salaire compétitif selon l expérience  Primes de performance  Opportunités de formation et d évolution  Cadre de travail stimulant et convivial  Lieu   Aïn Sebaâ  Casablanca  Type de contrat   CDI avec période d essai de  X mois   Horaires    Précisez les horaires  par exemple  8h 17h    Job Types  Full time  Contract
chargé d'administration de ventes pour société industrielle à AIN SEBAA - job post,CRIT MAROC,Sous la responsabilité du Directeur Commercial  le chargé administration des ventes assure ses fonctions  il reporte directement à celui ci  Le chargé administration des ventes est en interaction régulière avec l équipe commerciale  et les autres service de la société pour coordonner les activités de ventes  Il doit assurer une communication fréquente avec les clients pour répondre à leurs questions  confirmer les commandes  et résoudre les problèmes et garantir leur satisfaction et leur fidélité  Le chargé administration des ventes doit avoir la capacité à s adapter à des périodes de charge de travail élevée  notamment en cas de forte demande ou de problèmes de livraison  Le poste peut être stressant lors de la gestion de problèmes liés à des commandes en retard  des retours de produits ou des situations de charge de travail élevée ainsi une bonne gestion de stress est requise  Le chargé administration des ventes doit participer à des programmes de formation continue pour rester à jour sur les procédures internes de la société  Missions Principales Le chargé administration des ventes a pour mission de garantir le bon déroulement des ventes entre la société et ses clients  depuis la prise de commande jusqu à la livraison effective des produits et leurs paiements  Il est responsable de la gestion efficace de tous les aspects administratifs liés au processus de vente  Il doit garantir un service de qualité  Le chargé administration des ventes participe assiste les clients qui se rendent directement à la société pour obtenir des informations  ou acheter des produits  Il doit coordonner avec le commercial concerné et offrir un service client exceptionnel  Responsabilités ADMINISTRATION DES VENTES   Recevoir  enregistrer et traiter les commandes des clients de manière précise et en temps opportun   Vérifier la disponibilité des produits et la conformité des commandes avec les politiques de l entreprise  Coordonner les expéditions et s assurer que les produits sont livrés dans les délais convenus   Gérer les problèmes de livraison  les retards et les retours de produits le cas échéant  Alerter sur les niveaux de stock et collaborer avec le département logistique pour garantir un approvisionnement adéquat   Répondre aux questions et aux préoccupations des clients liées aux commandes  aux factures et aux produits  Fournir un service client de qualité en traitant les demandes de manière professionnelle   Maintenir des dossiers précis et organisés  y compris les contrats  les factures  les bons de livraison et les correspondances avec les clients  Maintenir le lien et travailler en étroite collaboration entre l équipe commerciale et les fonctions support   GESTION ADMINISTRATIVE   FACTURATION    Effectuer les démarches auprès du service commercial pour collecter les informations nécessaires à la facturation et s assurer de la bonne transmission des informations administratives relatives à la vente Etablir la facturation conformément au process interne  Vérifier la stricte conformité des données aux dispositions légales  faire valider la facture par la force de vente  Assurer son émission au client et sa bonne réception   Suivre et mettre à jour la base de données clients  adresses  historique des contacts  créances    classer et archiver tous les documents contractuels et administratifs rattachés  Gérer les dossiers exports Clients et les transmettre aux services concernés pour la comptabilisation  Prendre en charge la gestion administrative des ventes     Contrôler les délais de règlements  suivre et saisir les encaissements   Suivre les créances  relancer les clients  par téléphone  mail  courrier   Effectuer les relances préventives avant l échéance de paiement et après le dépassement d échéance   Suivre l encaissement des créances et établir l échéancier  Transmettre au service comptable les informations liées aux encaissements et nécessaires au lettrage   Renseigner la base interne de données clients  historique  état d avancement des actions engagées  solde restant dû  âge de l arriéré    Informer en permanence les équipes internes concernées   REPORTING    Centraliser les informations concernant les activités de la direction commerciale   CA mensuel  ristournes conformément aux contrats commerciaux     Produire des rapports réguliers sur les performances des ventes  les commandes en cours  les retours de produits  et d autres données liées à l administration des ventes  ACTIVITES COMPLEMENTAIRES    Accueil physique et téléphonique des clients et fournisseurs  Intervenir sur des projets transversaux touchant les activités de la société  Certification  Implantation d un ERP  o Automatisation des processus de ventes o Inventaires périodiques  CRITERES DE MAITRISE DU POSTE  Traitement précis et efficace des commandes  avec un minimum d erreurs ou d omissions  Garantir que les produits sont livrés dans les délais convenus avec les clients   Respecter les politiques de tarification et facturer les produits conformément aux accords convenus avec les clients  Maintenir les dossiers clients à jour   contrats  factures  correspondance  bon de livraison       Produire des rapports réguliers sur les performances de l administration des ventes  notamment les commandes en cours  le CA  les retours de produits  etc  Compétences techniques Bonne maîtrise des logiciels de gestion de commandes  Excellente maîtrise des outils de bureautique et notamment de tableurs Connaissance des bases de la comptabilité  Connaissance des outils de suivi et de gestion de contrats Compétences techniques   Bonne maîtrise des logiciels de gestion de commandes   Excellente maîtrise des outils de bureautique et notamment de tableurs   Connaissance des bases de la comptabilité   Connaissance des outils de suivi et de gestion de contrats Rigueur   Capacités d adaptation   Sens de la négociation   Capacité à prioriser   Qualités relationnelles   Esprit d initiative   Force de proposition   Capacités rédactionnelles Ce poste est accessible aux candidats ayant un niveau Bac  2 3   BTS  DUT ou licence en commerce  gestion des entreprises  économie et gestion Le poste requiert au minimum 2 ans d expérience professionnelle dans un poste administratif de ventes Offre  salaire avec prime annuelle et bonus annuel  avantages sociaux CIMR   Si vous êtes intéressé envoyez votre cv Type d emploi   Temps plein  CDI Rémunération   8 000 00DH à 9 000 00DH par mois
Assistant(e) administration des ventes - job post,Not Available,Nous sommes à la recherche pour l un de nos clients d un e  Assistant e  Administration des Ventes   Rattaché e  au Département Etanchéité  Isolation  vos principales missions     Enregistrement des commandes Gestion des stocks et vérification de la disponibilité des produits Planification et suivi des livraisons Assurer l interface avec le service commercial  production et logistique ainsi qu avec l administration de l après vente    Profil recherché     Formation supérieure Bac  2 3  commercial  logistique  Rigoureux se   autonome  avec un grand sens de l organisation Savoir travailler en équipe Sens commercial et sens du compromis Maîtriser les outils informatiques  WORD  EXCEL  POWER POINT  ERP  Maîtrise de l arabe et du français     Domaine   Commercial   Vente Fonction   Assistant Ventes Accueil Niveau d études   Bac plus 2
Assistant(e) Achat - job post,METRACO,Missions principales    Assurer la continuité du business à travers l approvisionnement des produits en quantité  qualité  délais et coûts requis   Assister le Responsable des Achats dans l ensemble du processus d achats de l entreprise  depuis la sélection des fournisseurs jusqu au suivi de l exécution des commandes  en veillant à obtenir les meilleurs produits et conditions contractuelles possibles   Sélection des fournisseurs  sélection des produits  négociation des contrats  proforma et gestion de la relation    Gestion des commandes  incluant le traitement système  suivi de l exécution et reporting pour les produits et les pièces de rechange   Analyse des offres   sélection des produits  comparatifs   Analyse et inspection des échantillons fournisseurs et élaboration des rapports de test   Design des produits et gestion des données   artwork  labels  traduction  codes  fiches techniques  catalogue  etc    Création des articles  commandes  codes barres et numéros de série sur l ERP  Coordination avec les différents services partenaires  graphistes  SAV  import  logistique  fournisseurs  intégration sur le site e commerce  etc  Amélioration des systèmes de travail  processus  modèles  bases de données  check lists  guidelines     Maîtrise des processus et des outils d achat   commerce international  ERP  Profil recherché  Niveau d études requis Bac  5 en commerce et gestion  idéalement avec spécialisation achats   avec une première expérience dans un poste similaire  Trilingue   Français et Arabe  Courant Anglais   Compétences professionnelles obligatoires  Veuillez postuler   rh metraco ma Type d emploi   Temps plein
controleur de gestion - job post,groupe bellakhdar,entreprise basé a Nouaceur en pleine croissance spécialisée en agroalimentaire   nous recherchons un contrôleur de gestion pour renforcer notre equipe et accompagner notre développement  Profil recherché    Diplôme en Finance  Comptabilité  Gestion  Bac  4 5  Expérience de 5 années en contrôle de gestion ou dans un poste similaire  Maîtrise des outils informatiques  Excel  ERP  sage x3   Bonne capacité d analyse et de synthèse  Sens de la rigueur  autonomie  et force de proposition  Bonnes capacités de communication pour travailler en équipe et avec les différents départements de l entreprise  Type d emploi   Temps plein  CDI
Assistante Administration des Ventes - job post,PROMAN MAROC,PROMAN Group est le 4 ème acteur européen du travail temporaire et des ressources humaines  Avec ses filiales spécialisées  PROMAN dispose d un réseau de plus de 1000 agences  réparties dans 17 pays  En tant que spécialiste du recrutement en intérim  CDD et CDI et tout un panel de solutions RH  le Groupe propose un accompagnement de qualité et une offre de service sur mesure  Dans cet esprit  PROMAN Maroc Recrute pour l un de ses clients à Bouskoura  Assistante Administration des Ventes   Entreprise   PROMAN Maroc  pour le compte d un client basé à Bouskoura  Contrat   CDI Date de démarrage   Dès que possible Salaire   À négocier selon profil Secteur d activité   Location de matériel et d équipements industriels  Avantages    Mutuelle Indemnités de transport Primes de fin d année  Profil requis    Expérience confirmée en administration des ventes ou dans un poste similaire   minimum 5 ans  Maîtrise des outils de gestion commerciale et des logiciels de facturation et de suivi des commandes Compétences en gestion des relations clients et en suivi des dossiers de la commande à la livraison Organisée  rigoureuse  avec une grande capacité à gérer plusieurs tâches simultanément Bonnes compétences en communication  à l écrit comme à l oral Maîtrise de l Excel et des systèmes de gestion ERP souhaitée Dynamique  proactive  avec un excellent esprit d équipe  Type d emploi   Temps plein Rémunération   1 00DH par mois
Assistante Import/Export Anglophone - job post,CRIT MAROC,On recrute une assistante import anglophone qui sera responsable de la gestion administrative et logistique des opérations d importation de marchandises  en coordination avec les fournisseurs  les transitaires  les douanes  Compétences techniques    Maîtrise des procédures douanières et des réglementations en matière d importation  Bonne maîtrise des outils bureautiques  Excel  Word  etc   et des logiciels de gestion logistique  ERP  etc    Connaissance des pratiques du transport international et de la gestion de la chaîne d approvisionnement    Formation   Bac  2 minimum  de préférence en Commerce International  Logistique  Gestion des Transports  ou domaine similaire  Expérience   Une première expérience en gestion des importations  en logistique ou dans un poste similaire est un plus  Langues   La maîtrise de l anglais est un atout  notamment pour la communication avec les fournisseurs internationaux   Type d emploi   Temps plein  IntérimDurée du contrat   12 mois Rémunération   6 000 00DH par mois Langue   anglais  Requis   Date limite de candidature   16 11 2024
Responsable des Affaires Financières - job post,MAGHREB STEEL,Présentation de la Société  Fondée en 1975  Maghreb Steel est l unique producteur d acier plat au Maroc et un acteur clé du secteur sidérurgique  Grâce à des investissements stratégiques  l entreprise est devenue un pilier de l industrie nationale  reconnue pour la qualité de ses produits  sa capacité d innovation et son respect des normes internationales  Avec ses 1600 collaborateurs  Maghreb Steel s engage à atteindre l excellence opérationnelle et à soutenir la croissance économique du Maroc  Description du Poste  Dans le cadre de son développement  Maghreb Steel recherche un Responsable des Affaires Financières  Ce poste stratégique implique la supervision des opérations financières et comptables de l entreprise  la gestion des ressources financières et la mise en place de stratégies pour garantir la performance financière et la conformité aux normes en vigueur  Missions principales    Élaborer et mettre en œuvre les stratégies financières pour soutenir les objectifs de l entreprise  Superviser la comptabilité générale et analytique  en assurant la conformité avec les obligations légales  fiscales et réglementaires  Gérer les flux de trésorerie  prévoir les besoins en financement et optimiser les ressources disponibles  Piloter l élaboration des budgets prévisionnels et des états financiers  bilan  comptes de résultat  reporting consolidé   Garantir la fiabilité des données financières et superviser les processus de contrôle interne  Assurer les relations avec les partenaires financiers   banques  investisseurs  auditeurs et marchés financiers  Préparer et suivre les déclarations fiscales en conformité avec la réglementation locale  Contribuer à l amélioration continue des processus financiers et à l optimisation des coûts  Participer activement à la prise de décisions stratégiques grâce à une analyse financière rigoureuse   Activités principales    Traduire les objectifs stratégiques en indicateurs financiers clairs  chiffre d affaires  marges  EBITDA  etc    Contrôler et optimiser les processus d exécution des dépenses  en veillant à leur conformité et leur efficacité  Assurer une veille constante sur les réglementations financières et fiscales  Établir des tableaux de bord financiers et fournir des recommandations pour soutenir les décisions de la direction générale  Coordonner les audits internes et externes  en garantissant la transparence des opérations financières   Compétences requises et profil recherché  Compétences techniques  Savoir   Connaissance approfondie des normes comptables  fiscales et des pratiques financières  Expertise dans l élaboration et l analyse des états financiers et des tableaux de bord  Maîtrise des outils financiers et ERP  notamment SAP ou autres logiciels de gestion intégrée  Maîtrise de l anglais  écrit et parlé    Compétences pratiques  Savoir faire   Forte capacité à anticiper les besoins financiers et à optimiser les processus  Capacité à négocier avec les banques et autres institutions financières  Gestion de projets financiers complexes et amélioration des performances  Aptitude à résoudre les problématiques financières avec une vision stratégique   Compétences humaines  Savoir être   Excellente résistance au stress et capacité à gérer des priorités multiples  Leadership affirmé et capacité à encadrer et motiver une équipe  Sens de la rigueur  de l organisation et de l analyse  Flexibilité et disponibilité  notamment lors des périodes de forte activité   Profil recherché    Formation   Bac 5 en Finance  Comptabilité  ou Gestion d Entreprise  Master ou équivalent   Expérience   Minimum 5 ans dans un poste similaire  idéalement dans un environnement industriel   Pourquoi rejoindre Maghreb Steel  En tant que Responsable des Affaires Financières  vous serez un acteur clé de la performance et de la croissance financière de Maghreb Steel  Ce poste offre un environnement stimulant  des défis stratégiques et une opportunité unique de contribuer à l excellence d une entreprise leader dans son secteur  Rejoignez Maghreb Steel et participez à l avenir de l industrie sidérurgique marocaine   Type d emploi   Temps plein  CDI
Data Analyst H/F - job post,CRIT MAROC,Missions principales    Collecter  nettoyer et structurer les données provenant de différentes sources pour les rendre exploitables  Créer  analyser et interpréter des rapports et tableaux de bord sur des outils BI tels que Power BI  Tableau ou Qlik  Collaborer avec les équipes métiers pour comprendre leurs besoins en termes de données et fournir des analyses pertinentes  Développer et optimiser des modèles de données dans Snowflake  en garantissant l intégrité et la sécurité des données  Proposer des recommandations basées sur les insights issus des données pour améliorer les processus et la performance  Effectuer des analyses ad hoc à la demande des départements  marketing  finance  opérations  etc    Assurer une veille technologique continue sur les outils BI  les plateformes Cloud et les nouvelles méthodes d analyse   Responsabilités    Garantir la fiabilité des données et la qualité des rapports produits  Participer à l amélioration continue des processus d analyse et de reporting  Assurer la documentation des processus d analyse et des pipelines de données  Travailler en étroite collaboration avec les développeurs  les data engineers et les chefs de projet pour implémenter des solutions BI robustes   Compétences requises    Expérience d au moins 1 an en tant que Data Analyst ou dans un rôle similaire  Excellente maîtrise de Snowflake pour la gestion des données et des modèles analytiques  Bonne connaissance des outils de Business Intelligence  Power BI  Tableau  Qlik  etc    Compétence en SQL avancé pour l extraction et la manipulation de données  Familiarité avec les environnements Cloud et les architectures de données distribuées  Capacité à interpréter les données et à les transformer en insights exploitables pour l entreprise  Bonnes compétences en communication pour présenter des résultats à des non spécialistes   Qualifications souhaitées    Expérience dans l intégration de données depuis diverses sources  ERP  CRM  plateformes Cloud  etc    Connaissance des langages de programmation comme Python ou R pour l analyse statistique ou les modèles prédictifs  Une certification en Snowflake ou en BI serait un plus   Type d emploi   Temps plein  CDI Formation   Master ou École de commerce et de gestion  Optionnel 
"Associate, 1st Line Customer Support - job post",Forterro,Rejoignez notre équipe et devenez le premier point de contact de nos clients     Votre rôle          En tant que Technicien ne  Support Niveau 1  vous serez en charge de la prise en charge et du traitement des demandes clients  Vous serez l interlocuteur privilégié de nos clients et contribuerez à leur satisfaction          Missions     Accueil et prise en charge des appels clients   Écouter attentivement les demandes  les qualifier et les prioriser  Traitement des demandes du support de niveau 1   Analyser les demandes  identifier les solutions adaptées et suivre leur résolution  Information des clients   Tenir les clients informés de l avancement de leurs demandes et s assurer de leur satisfaction  Qualification des demandes   Évaluer la complexité des problèmes  Résolution des problèmes simples   Apporter des réponses rapides et efficaces aux questions courantes      Profil     Diplôme en informatique   industriel Connaissances techniques   SQL  environnements industriels  des ERP  Sens du service client   Vous êtes à l écoute des clients et avez une réelle envie de les satisfaire  Capacités d analyse et de synthèse   Vous êtes rigoureux se  et capable de résoudre des problèmes de manière efficace  Excellentes qualités relationnelles   Vous avez une bonne communication orale et écrite  Autonomie et sens des responsabilités      À propos de Forterro      Fondée en 2012  la société Forterro s est développée pour devenir un leader dans le domaine des solutions logicielles pour le marché industriel  avec des implantations dans les principales économies manufacturières en Europe  ainsi que des centres régionaux de services clients et des centres de R D dans le monde entier  Depuis plus de 40 bureaux  nos plus de 1 700 employés fournissent des logiciels à plus de 13 000 entreprises industrielles et en assurent le support  Nos produits sont profondément ancrés dans les exigences de leur zone géographique locale  Chacun d entre eux est conçu pour renforcer et augmenter la capacité de nos clients à opérer efficacement et à être compétitifs 
Manager logistique externe pour industrie de tabac à Ain Harrouda - job post,CRIT MAROC,Nous recrutons un extern logistic manager    Responsable de l approvisionnement optimale des tabacs dans les délais prédéfinis  depuis la passation de commandes jusqu à la livraison sur un des sites   Responsable du circuit d importation   d exportation du tabac  et autres produits  fournitures  pièces de rechanges  etc  Responsable de l exécution et du suivi du contrat de prestation avec le sous traitant actuel Rattaché au Planning   Supply Manager   il est en charge de ce qui suit   Garantir la disponibilité du tabac dans le respect des délais et des coûts en vue de couvrir les besoins en matière première à travers la gestion des commandes et des appels à livraison  Gestion de l ensemble des circuits des importation et exportations relatives aux commandes achats réalisées par l entreprise afin de l approvisionner en matière et produits nécessaires Participer à la préparation du budget besoin en tabac et NTM annuel et procéder à sa mise à jour trimestrielle Gérer les approvisionnements tabac  et produits finis   Elaborer les budgets prévisionnels des approvisionnements pour les produits    Gérer les appels à livraison   Passer des commandes de  ré  approvisionnement de fournitures et   ou de tabacs     Créer la commande au niveau du système et l envoyer au fournisseur    Superviser l acheminement de la marchandise sur le système du transporteur jusqu à l arrivée de la marchandise au port   Superviser le dédouanement des matières et produits importés   Préparer le planning prévisionnel de réception de marchandise et le transmettre au service de réception   Superviser la livraison vers les entrepôts des matières et produits importés   Vérifier la réception en transit sur système de la marchandise    Coordonner avec le département du Groupe pour la création des nouvelles références au niveau du système    Faire le suivi administratif des documents douaniers  des factures fournisseurs et coordonner avec la direction financière leurs règlements   Veiller à ce que les contrats cadres contractés avec les fournisseurs soient validés sur le système   Superviser le suivi des régimes économiques douaniers  admissions temporaires  exportation temporaire   et s assurer de leur  liquidation  Superviser le dédouanement de l ensemble des autres produits demandés par les autres entités de l entreprise Gérer les exportations demandées par l entreprise Gérer le stock des vignettes fiscales Assurer l interface avec les fournisseurs Gestion financière Supervision de la tour de contrôle sous traitée Garantir l atteinte des indicateurs de performance de l activité Organiser le travail de l équipe Déployer le cycle Management de la performance au niveau de son entité  fixation des objectifs  suivi de la performance  réalisation des entretiens d évaluation     Apporter sa contribution dans l initiation  le développement et la vie du système     Supporter la création de valeur ajoutée et mettre en place les actions appropriées en vue d éliminer tout type de gaspillage   Encourager la prise d initiative et l innovation Mettre en œuvre des plans d amélioration continue et superviser les projets d amélioration de performance    Sensibiliser les équipes au respect des procédures QHSE et à leur maintien  Veiller au respect des règles et procédures par tous les collaborateurs et en cas de dérives  prendre les dispositions nécessaires  Formation     BAC 4 5 ou équivalent en logistique commerce international ou gestion Expérience     Expérience d au moins 5 ans en commerce international forwarding   Connaissances avancées sur les techniques de dédouanement  régimes douaniers et législations marocaines relatives à l activité douanière Connaissances sur le circuit achat approvisionnement et les contrats de commerce international   Compétences techniques     Maîtrise des process de planification   Maitrise des activités de commerce international  achat  transport  incoterms  documentation  douane    Maîtrise de l outil informatique   Maîtrise des systèmes ERP   Maîtrise du français et de l anglais  à l oral et à l écrit    Compétences relationnelles     Bonne communication   Techniques de négociation   Capacité à travailler en transverse   Esprit d équipe   Orientation client   Travail en transverse   Compétences comportementales     Autonomie   Sens de la responsabilité   Esprit d analyse et de synthèse   Orientation résultats   Sens du détail   Rigueur et organisation   Réactivité et anticipation   Gestion des priorités   Adaptabilité et flexibilité Disponibilité et engagement Type d emploi   Temps plein  CDI Rémunération   18 000 00DH à 19 000 00DH par mois Type d emploi   Temps plein  CDI Rémunération   19 000 00DH par mois
Chargé(e) Moyens Généraux - job post,Industrie Pharmaceutique,Une structure qui opère dans le secteur pharmaceutique recrute un e  Chargé e  Moyens Généraux talentueux  se  et motivé e  pour rejoindre notre équipe dynamique  Vos principales responsabilités     Assurer la gestion quotidienne des moyens généraux et de la logistique du site    Organiser et coordonner les déplacements du personnel    Assurer le suivi  l entretien et la gestion optimale des équipements professionnels    Superviser et gérer le parc automobile    Assurer les reportings et tableaux de bord pour optimiser les charges    Veiller au respect des normes d hygiène et de sécurité du site  Votre profil     Vous êtes diplômé e  d un Bac 3 5 en Logistique ou équivalent    Vous avez une expérience de 1 minimum en Moyens Généraux  idéalement dans un environnement industriel   Vous maîtrisez les outils bureautiques et ERP  avec une connaissance approfondie d Excel    Transport Assurée Type d emploi   Temps plein
Coordinateur Logistique (H/F) - job post,ifcarsolutions,Missions principales   1  Organisation des flux logistiques    Coordonner et optimiser les flux de matières premières  produits semi finis et finis  Planifier et suivre les expéditions pour garantir le respect des délais   2  Gestion des stocks    Superviser les entrées et sorties de stock  Assurer la mise à jour des données dans les outils ERP   3  Collaboration interservices    Travailler en étroite collaboration avec les services production  approvisionnement  et transport  Jouer le rôle d interface entre les fournisseurs  les transporteurs et l entreprise   4  Optimisation des processus    Identifier et mettre en œuvre des améliorations pour réduire les coûts et les délais  Garantir la qualité et la sécurité dans les processus logistiques   5  Reporting et suivi    Élaborer des rapports réguliers sur les indicateurs clés  KPI   Analyser les écarts et proposer des actions correctives   Profil recherché    Bac 3 5 en Logistique  Supply Chain ou équivalent  Minimum 2 ans dans un poste similaire  idéalement dans l industrie automobile  Maîtrise des outils ERP et des processus logistiques  Bonne connaissance des réglementations en logistique et transport  Capacité à gérer les priorités dans un environnement en constante évolution  Excellente communication  sens de l analyse et esprit d équipe  Type d emploi   CDI Rémunération   8 000 00DH à 10 000 00DH par mois
