PE TEACHER - job post,Inspired,PE TEACHER         Location  Rabat  MA             Date  22 Nov 2024             Application closing date                   Inspired Education is the leading global group of premium schools  with a portfolio of 118 premium private schools spanning 6 continents which utilise proven educational practices from every corner of the globe  ensuring over 90 000 students receive a world class learning experience from Kindergarten to Year 13                In 27 countries  Inspired schools are individually developed and anchored in the vibrant cultures of their respective locations  They collectively form an international family of schools that nurtures each student s academic and personal development in a progressive  dynamic  and innovative learning environment                By joining our award winning team of over 13 000 employees  you can work in state of the art facilities alongside industry renowned educators and leaders in some of the world s most desirable locations  We invest heavily in our team members who enjoy industry leading professional development  exceptional career opportunities  and mobility across our group             ROLE SUMMARY        Lesson Planning   Instruction    Develop and implement age appropriate physical education curricula that support students  physical  social  and emotional development  Teach physical activities such as gymnastics  sports  fitness routines  and recreational games  Foster a positive learning environment that encourages student participation and achievement in physical fitness     Physical Fitness   Health Education    Teach students the importance of exercise  healthy habits  nutrition  and overall well being  Conduct fitness assessments  track progress  and provide feedback on improvement     Classroom Management    Manage student behavior in a safe and respectful manner  Create and maintain a classroom environment conducive to learning and physical activity  Ensure proper use of sports equipment and facilities     Sports   Extracurricular Activities    Coach and lead students in extracurricular sports teams and competitions  Organize school wide fitness events  tournaments  and wellness programs  Promote team building and sportsmanship through group activities and games     Assessment   Reporting    Assess student performance in physical activities and fitness  Provide feedback on individual and group progress  and maintain records of student performance  Communicate regularly with parents  guardians  and school administration regarding students  progress         THE IDEAL CANDIDATE WILL HAVE        Education    Bachelor s degree in Physical Education  Sports Science  or a related field  Certification in teaching physical education  may vary by state country       Experience    Previous teaching experience  especially in physical education  is preferred  Experience in coaching sports teams or organizing fitness programs is a plus     Skills    Strong knowledge of physical fitness  sports  and health education  Excellent communication  interpersonal  and organizational skills  Ability to motivate and inspire students to participate and excel in physical activities  Ability to create a safe  positive  and inclusive learning environment         SAFEGUARDING STATEMENT              Inspired Education Group is committed to safeguarding and promoting the welfare of children and young people and expects all staff  volunteers and other third parties to share this commitment  Safer recruitment practices and pre employment background checks will be undertaken before any appointment is confirmed                 School Application Form              Please download and fill up this form  attach this during application process                        Visit our careers site for more information  https   jobs inspirededu com
English Teacher - job post,Inspired,English Teacher         Location  Rabat  MA             Date  22 Nov 2024             Application closing date                   Inspired Education is the leading global group of premium schools  with a portfolio of 118 premium private schools spanning 6 continents which utilise proven educational practices from every corner of the globe  ensuring over 90 000 students receive a world class learning experience from Kindergarten to Year 13                In 27 countries  Inspired schools are individually developed and anchored in the vibrant cultures of their respective locations  They collectively form an international family of schools that nurtures each student s academic and personal development in a progressive  dynamic  and innovative learning environment                By joining our award winning team of over 13 000 employees  you can work in state of the art facilities alongside industry renowned educators and leaders in some of the world s most desirable locations  We invest heavily in our team members who enjoy industry leading professional development  exceptional career opportunities  and mobility across our group             ROLE SUMMARY               Plan  prepare  and deliver engaging and comprehensive English language and literature lessons to secondary students  aligned with curriculum standards and learning objectives                      Teach students reading comprehension  writing skills  grammar  vocabulary  and literary analysis through a variety of instructional strategies and activities                      Introduce students to a wide range of literary genres  authors  and texts  fostering an appreciation for literature and critical thinking skills                     Utilize technology  multimedia resources  and authentic materials to enhance instruction and promote student engagement and understanding  Assess student learning and progress through a variety of formative and summative assessments  providing timely feedback to students and parents                      Differentiate instruction to meet the diverse needs of students  including English language learners  students with special needs  and advanced learners  Create a positive and inclusive classroom environment where all students feel valued  respected  and supported in their language and literary exploration                      Collaborate with colleagues to develop interdisciplinary projects and initiatives that integrate English language arts with other subject areas                      Stay informed about current trends  developments  and best practices in English language teaching and literature studies  incorporating relevant information into lesson plans and activities                      Participate in professional development opportunities to enhance teaching skills  pedagogical knowledge  and content expertise in English language arts                 THE IDEAL CANDIDATE WILL HAVE               International teaching qualification                     Bachelor s degree in relevant subject area from an international university                     Successful experience in working in an international school with pupils in the age group you are teaching subject                    Experience delivering at IGCSE and IBDP   A Level                     Demonstrated experience in inspiring pupils in a stimulating learning                     Environment Demonstrated experience of using ICT to promote learning                     Ability to analyze student data to support student achievement                     Demonstrated experience in raising achievement and setting challenging targets                     Strong commitment to supporting all aspects of our program  especially through participating actively in the extra curricular activities and contributing to the life of the school community                 SAFEGUARDING STATEMENT              Inspired Education Group is committed to safeguarding and promoting the welfare of children and young people and expects all staff  volunteers and other third parties to share this commitment  Safer recruitment practices and pre employment background checks will be undertaken before any appointment is confirmed                 School Application Form              Please download and fill up this form  attach this during application process                        Visit our careers site for more information  https   jobs inspirededu com               LINK
assistant chargé(e) F&B - job post,IBIS,Company Description  Join us at Accor  where life pulses with passion  As a pioneer in the art of responsible hospitality  the Accor Group gathers more than 45 brands  5 600 hotels  10 000 restaurants  and lifestyle destinations in 110 countries  While each brand has its own personality  where you will be able to truly find yourself  they all share a common ambition  to keep innovating and challenging the status quo  By joining us  you will become a Heartist   because hospitality is  first and foremost  a work of heart  You will join a caring environment and a team where you can be all you are  You will be in a supportive place to grow  to fulfil yourself  to discover other professions and to pursue career opportunities  in your hotel or in other hospitality environments  in your country or anywhere in the world  You will enjoy exclusive benefits  specific to the sector and beyond  as well as strong recognition for your daily commitment  Everything you will do with us  regardless of your profession  will offer a deep sense of meaning  to create lasting  memorable and impactful experiences for your customers  for your colleagues and for the planet   Hospitality is a work of heart   Join us and become a Heartist   Job Description  Food   Beverage Supervisor Are you a passionate foodie who is not afraid of thinking outside the box  Then  we have the job for you  As a Food   Beverage Supervisor  you will strategically lead the team to take guest satisfaction to the next level  What is in it for you  In 3 4 bullet points  showcase the benefits and perks of working at the property Employee benefit card offering discounted rates in Accor worldwide Learning programs through our Academies and the opportunity to earn qualifications while you work Opportunity to develop your talent and grow within your property and across the world  Ability to make a difference in the local community through our Corporate Social Responsibility activities  like Planet 21 What you will be doing  Lead  mentor and train the Food   Beverage Operations team Ensure Food   Beverage relevant brand standards are maintained Strategize on new products and service offerings Create unforgettable experiences for our guests  Qualifications  Your experience and skills include  Service focused personality is essential and previous leadership experience required Proven ability to build and maintain good relationships with all stakeholders Communicate thoughts  actions and opportunities clearly with strong networking skills Ability to lead by example  believe in a strong team culture and set the scene for high performance Additional Information  Our commitment to Diversity   Inclusion  We are an inclusive company and our ambition is to attract  recruit and promote diverse talent 
Professeur Art plastique - job post,LPT,Vous êtes passionné par l art plastique   Vous avez eu une expérience avec des enfants de 6 ans et aimez les enfants   Ce poste est pour vous  Notre centre assure des cours d art plastique tous les vendredis de 14h30 à 17h Type d emploi   Temps partiel Expected hours  No more than 2 per week Date de début prévue   01 12 2024
graphic design - job post,Wem,Description du Poste Nous recherchons un Designer Infographiste talentueux et créatif pour rejoindre notre équipe  Vous serez responsable de la création de visuels attrayants  de la conception graphique de projets web et imprimés  et de la réalisation de supports variés répondant aux besoins de nos clients  Responsabilités  Concevoir et réaliser des visuels attractifs pour des supports numériques et imprimés  bannières  affiches  publications pour réseaux sociaux  infographies  etc    Collaborer avec les équipes marketing et création pour traduire les briefs en créations visuelles impactantes  Assurer la cohérence de l image de marque de nos clients à travers tous les supports visuels  Apporter des idées innovantes et s approprier les dernières tendances en design graphique et infographie  Participer aux réunions créatives et proposer des concepts pour de nouveaux projets   Profil Recherché  Diplôme en design graphique  infographie  arts visuels  ou domaine connexe  Minimum 2 ans d expérience dans un poste similaire  Maîtrise des logiciels de design graphique  Adobe Photoshop  Illustrator  InDesign  etc    Bonne connaissance des principes de design web et des formats pour les réseaux sociaux  Sens de la créativité  de la précision et capacité à travailler en équipe  Excellente gestion du temps et des priorités pour répondre aux deadlines   Avantages  Opportunités de développement professionnel au sein d une équipe créative et inspirante  Accès à des projets variés et stimulants pour des clients de divers secteurs  Environnement de travail flexible et dynamique   Comment Postuler Envoyez nous votre CV  portfolio et une lettre de motivation expliquant pourquoi vous souhaitez rejoindre Wem Digital à l adresse suivante  contact wemdigital com  Nous avons hâte de découvrir votre créativité   Type d emploi   Temps plein Rémunération   2 800 00DH à 4 000 00DH par mois
English Sciences teacher - job post,Inspired,English Sciences teacher         Location  Rabat  MA             Date  8 Nov 2024             Application closing date                   Inspired Education is the leading global group of premium schools  with a portfolio of 119 premium private schools spanning 6 continents which utilise proven educational practices from every corner of the globe  ensuring over 85 000 students receive a world class learning experience from Kindergarten to Year 13                In 27 countries  Inspired schools are individually developed and anchored in the vibrant cultures of their respective locations  They collectively form an international family of schools that nurtures each student s academic and personal development in a progressive  dynamic  and innovative learning environment                By joining our award winning team of over 13 000 employees  you can work in state of the art facilities alongside industry renowned educators and leaders in some of the world s most desirable locations  We invest heavily in our team members who enjoy industry leading professional development  exceptional career opportunities  and mobility across our group             ROLE SUMMARY               Khalil Gibran School Rabat  KGSR  is a vibrant school offering a premium British style and Moroccan education to both expatriate and local students in Morocco  KGSR is a community school with a strong and growing reputation thanks to its pedagogical approach  progressive approach and holistic education philosophy  The school is seeking a pioneering practitioner who is passionate about their subject and wishes to broaden their own experience within an innovative  friendly and collaborative environment                 THE IDEAL CANDIDATE WILL HAVE               The English Sciences teacher will teach both Moroccan   Cambridge curriculum  This position would suit someone with experience in English sciences  who is seeking further development and exposure to International Schooling                 SAFEGUARDING STATEMENT              Inspired Education Group is committed to safeguarding and promoting the welfare of children and young people and expects all staff  volunteers and other third parties to share this commitment  Safer recruitment practices and pre employment background checks will be undertaken before any appointment is confirmed                        Visit our careers site for more information  https   jobs inspirededu com
F&B department Intership - Riad Fès - job post,Riad Fès,Company Description   Moroccan Andalusian elegance  A subtle mix of Andalusian sumptuousness and Moroccan art de vivre  the Riad Fès reflects its prestigious past and the refined civilisation to which it belongs  This majestic palace is an authentic example of Hispanic Moorish architecture  boasting four harmoniously styled patios  sculpted doors and zelliges on the walls  stucco arcades and marble basins  It offers panoramic views of the magical spectacle of the sun rising over the Fès Medina  and the Atlas mountains  Hammams and massages  fountains  smoking rooms  sophisticated cuisine and a trendy lounge bar  this is a world where traditions and contemporary conveniences combine delightfully  Job Description   The intern will learn Restaurant Standards and will be taught to perform ordering  monitoring departmental inventory  being involved in menu creation  cashiering  payment  procedures  advanced techniques of setting up tables  personally ensuring guest  satisfaction and other important techniques   TASKS OF AN INTERN IN FOOD AND BEVERAGE   You will work directly under the supervision of the  maître de maison  Check and manage stocks of raw materials  Optimize the supply chain if necessary  in particular by signaling the products arriving out of stock  Will be involved in the creation of the menus Will be involved in the artistic direction Will be involved in the planning of the staff Prepare the room and the tables for the service  Offer a service of a quality  Help to present the menus  daily specials  drinks etc   Take orders from customers  Serve and serve the dishes  Clear the tables if necessary  Respect the health and safety rules in force at the establishment    Qualifications   Required profile   To have an excellent presentation To manage the IT tool  pack office excel word  powerpoint   internet To speak English   French oral written    additional Language will be a plus To be attracted by luxury industry To be open minded  dynamic  cheerful  autonomous and organized To have a former experience in service
Graphic Designer - job post,AKSAL GROUP,Role Overview The Graphic Designer will be responsible for creating visually stunning designs that communicate our brand s message and engage our audience  You will collaborate with the marketing and creative teams to develop a wide range of graphics for digital and print media  ensuring that all visual elements align with brand guidelines and project objectives  Key Responsibilities   Design Creation  Develop compelling graphics  layouts  and visual concepts for various marketing materials  including brochures  social media posts  advertisements  and websites  Brand Alignment  Ensure all designs are consistent with our brand identity and guidelines  maintaining a cohesive look and feel across all platforms  Collaboration  Work closely with marketing  content creators  and other team members to understand project requirements and deliver on creative briefs  Concept Development  Generate innovative ideas and concepts that effectively communicate the desired message and resonate with the target audience  Revisions and Adaptation  Incorporate feedback and make revisions to designs based on input from stakeholders  ensuring final outputs meet quality and deadline expectations  Stay Current  Keep up to date with industry trends  design software  and emerging technologies to continually enhance your skills and design approach   Qualifications   Proven experience as a graphic designer  with a strong portfolio showcasing a range of design projects  Proficiency in graphic design software  such as Adobe Creative Suite  Photoshop  Illustrator  InDesign  and familiarity with Figma or similar tools  Strong understanding of typography  color theory  and layout design  Excellent communication and collaboration skills  with the ability to work effectively within a team environment  Strong organizational skills and attention to detail  with the ability to manage multiple projects simultaneously  A degree in Graphic Design  Visual Arts  or a related field is preferred but not required   Job Type  Full time
Assistant Front Office Manager - job post,Sofitel Marrakech Palais Imperial,Company Description  Exquisitely designed  magnificently welcoming  Sofitel Marrakech Palais Imperial is your private oasis of luxury and relaxation  Promising an unforgettable fusion of Moroccan culture and French art de vivre  every detail is curated for your comfort  Sleep dreamily and dine divinely  Relax in our award winning spa  and cool off in the refreshing pool  A hotel that cares for you as much as it cares for its community  just steps from the restaurants and shopping centres of Marrakech   Job Description What you will be doing   The Assistant Front Office Manager is responsible for overseeing and supervising the operations of the Front Desk  PBX  Guest Services  Bell  Door  Concierge and Night Audit  Lead  coach and set clear goals and expectations for Ambassadors  Ensure that the level of customer service delivered to the guest is consistent with our Sofitel Luxury Standards  Seamlessly integrate Front Office Operations with Sofitel internal departments  i e  Food and Beverage  Catering and Sales  etc    Your experience and skills include   Candidate must possess a minimum two year experience in an upscale hotel as a Front Office Manager  Excellent verbal and written English skills  second language a plus  French preferred  Excellent interpersonal  communication  organizational  and computer skills  Willingness and ability to work a flexible schedule to meet business demands   Job Type  Full time
Reservations Supervisor - job post,Four Seasons,About Four Seasons   Four Seasons is powered by our people  We are a collective of individuals who crave to become better  to push ourselves to new heights and to treat each other as we wish to be treated in return  Our team members around the world create amazing experiences for our guests  residents  and partners through a commitment to luxury with genuine heart  We know that the best way to enable our people to deliver these exceptional guest experiences is through a world class employee experience and company culture    At Four Seasons  we believe in recognizing a familiar face  welcoming a new one and treating everyone we meet the way we would want to be treated ourselves  Whether you work with us  stay with us  live with us or discover with us  we believe our purpose is to create impressions that will stay with you for a lifetime  It comes from our belief that life is richer when we truly connect to the people and the world around us   About the location  Bathed in natural light  our seaside Hotel cascades down a hillside toward the Atlantic  Perched on a beach just 10 minutes from the heart of Morocco s largest and liveliest city  the sweeping views you ll find from your private balcony easily fulfill the romantic reputation that precedes Casablanca  With architectural marvels both historic and modern  a cutting edge art scene and world class restaurants  allow us to show off the best of our alluring port city  starting with a plate of fresh local seafood prepared à la minute at Bleu  Our Oceanfront sanctuary offering a resort like atmosphere minutes from the city s key business districts and cultural landmarks opened in November 2015  and has 186 rooms  3 food and beverage outlets including a grill   seafood restaurant  a modern Moroccan lobby lounge serving exquisite tea times and a poolside restaurant famous for its Sundays barbecues  an outdoor pool with private poolside cabanas  fitness center  and a stunning spa offering bespoke treatments that pay tribute to ancestral beauty techniques and ancient Moroccan traditions at Le Spa     A breath of fresh air on the oceanfront  Four Seasons Hotel Casablanca offers a sleek resort inspired escape   just 10 minutes from the busy city center and business district  Discover this intimately scaled enclave  where 186 ultra spacious guest rooms  including 29 suites  welcome with contemporary Moroccan elegance  Experience the vibrant social scene with four options for ocean view dining and drinks  or relax in the outdoor pool and the club like spa and fitness center  For business and social events  host up to 700 guests in the ballroom and seven function rooms   About the role  Four Seasons Hotel Casablanca is looking for a Reservations Supervisor to join our team  The Reservations Supervisor is an integral part of the first impression for both our repeat and future guests  This position supervises the selling  upselling and providing of information to prospective guests  This position oversees the capture of sales from incoming calls and emails  coordinating the details of each reservation to ensure the guest s satisfaction  This Supervisor is the leader in delivering exceptional guest experiences through personalized recognition that are meaningful  valued and consistent   What you will do   To help train and develop reservations staff and cross training any necessary operations staff members  To control room and rate availability in accordance with established guidelines to maximize occupancy and revenue  To work with the Sales Department in handling group bookings  maintaining files  tracing cut offs dates  following up on special instructions  etc  To control all suite reservations with the Front Office Manager and ensure special handling of top corporate clients  VIPs  Elite  HRG and return guests  To prepare and distribute occupancy and revenue forecasts and keep all department heads well informed of any unexpected changes in levels of business  The ability to prepare and distribute daily return guest and monthly recap of percentage of return guests  daily VIP list  and daily arrivals list  Ensure that all reservation confirmations are communicated to stakeholders daily  To ensure all reservations staff are familiar with all guest rooms  selling techniques  hotel facilities  services  hours of operation  key personnel  special activities  functions in the hotel and to ensure proper follow up on all special guest requests  To handle guest complaints keeping senior management well informed of any problems and action taken    What you bring   University degree or equivalent experience required Minimum of 2 years  experience working in similar role within the luxury hospitality industry  Excellent time management skillsExcellent oral  verbal and written communication skills to focus on detailed information for potential new clientele  return guests  222 guests and Eliete guests      What we offer    Competitive Salary  wages  and a comprehensive benefits package Excellent Training and Development opportunities Complimentary Accommodation at other Four Seasons Hotels and Resort Complimentary Dry Cleaning for Employee Uniforms Complimentary Employee Meals
Contrôleuse de gestion junior - job post,Best consulting,Femme ISCAE   encg   ou équivalent  maîtrise la gestion budgétaire et analytique   kpis   et méthodique   Poste région casa  Entreprise industrielle  leadership et travail en équipe       Domaine   Comptabilité   Gestion   Audit Fonction   Comptabilite Gestion Audit Finance Contrat   CDI Entreprise   Best consulting Salaire   A discuter Niveau d études   Bac plus 5
Assistant(e) Comptable - job post,DIGICERTIF,Expérience requise   Minimum 2 ans dont une expérience dans un cabinet fiduciaireDate de prise de poste   Dès que possible Présentation de l entreprise  Nous somme une entreprise en pleine croissance  engagée dans la formation et le consulting digital  Dans le cadre de notre développement  nous cherchons à renforcer notre équipe comptable avec un e  Assistant e  Comptable capable d assurer une gestion rigoureuse de nos opérations financières et administratives  Missions principales  Rattaché e  au Responsable Comptable  vous serez en charge de    La gestion des tâches administratives et comptables courantes   La préparation et la saisie des factures clients et fournisseurs   Le suivi des paiements  avec relances en cas d impayés   La gestion des échéances de paiements et le contrôle des flux financiers   L assistance dans la préparation des reportings financiers   La tenue à jour des bases de données comptables et administratives   La gestion de la paie  incluant la collecte et la vérification des éléments variables de paie  l établissement des bulletins de salaire et des déclarations sociales   La gestion des absences  congés  et le suivi des avantages sociaux   La collaboration avec les autres services pour optimiser la gestion budgétaire   La gestion de la fiscalité   vous serez impliqué e  dans le traitement des déclarations fiscales  incluant la TVA  Taxe sur la Valeur Ajoutée   l IS  Impôt sur les Sociétés   et l IR  Impôt sur le Revenu   ainsi que dans le suivi des obligations fiscales et la préparation des déclarations en conformité avec les réglementations fiscales en vigueur   Profil recherché    Vous disposez d une expérience minimum de 2 ans sur un poste similaire en comptabilité  avec une expérience en fiscalité  Une expérience en cabinet comptable est particulièrement appréciée  Vous maîtrisez les logiciels comptables courants et les outils bureautiques  Excel  etc    Votre sens de l organisation et votre rigueur vous permettent de respecter les délais et d assurer un suivi précis des dossiers  Vous êtes reconnu e  pour votre autonomie  votre esprit d équipe et votre réactivité  Une bonne connaissance des réglementations comptables et fiscales  incluant la TVA  l IS  et l IR   Ce que nous offrons    Un environnement de travail dynamique et stimulant  Des perspectives d évolution au sein d une entreprise en expansion  Un salaire attractif selon profil et expérience  Des avantages sociaux et une politique de formation continue pour accompagner votre développement professionnel   Type d emploi   Temps plein  CDI Rémunération   4 000 00DH à 6 000 00DH par mois
Assistante de direction - job post,110.55. Consulting,Nous recherchons une Assistante de Direction polyvalente   vous jouez un rôle clé dans la coordination des activités administratives  financières et logistiques  assurant un support efficace dans la gestion des infrastructures  et de la logistique  Responsabilités    Assurer le suivi des dossiers prioritaires  coordonner les réunions stratégiques  préparer les comptes rendus et les documents de support  Faciliter la communication entre la direction générale et les autres départements  Assurer le suivi des fournisseurs et la gestion des contrats de services  Coordonner la gestion opérationnelle des infrastructures  en veillant à la maintenance des bâtiments  électricité  plomberie  mobilier  en lien avec les prestataires  Superviser l achat de fournitures  équipements et mobilier pour les différents départements  en assurant un bon suivi des stocks  Assurer la coordination avec les prestataires externes  maintenance  nettoyage  sécurité  et la qualité des services rendus suivre  Gérer et optimiser les dépenses liées aux services généraux  en anticipant les besoins et en recherchant des solutions d efficacité  Contribuer à l amélioration des processus administratifs et proposer des solutions d optimisation   Profil recherché    Expérience dans un poste similaire en assistant de direction  avec des connaissances solides en gestion des infrastructures  Compétences solides en gestion administrative  avec une capacité à traiter des priorités multiples  Maîtrise des outils bureautiques  Compétences organisationnelles éprouvées  avec un grand sens du détail et de la rigueur  Capacité à travailler de manière autonome tout en assurant une collaboration étroite avec plusieurs départements  Excellentes compétences en communication et en relations interpersonnelles  avec un bon sens de la discrétion et du professionnalisme   Type d emploi   Temps plein  CDI
Junior Consultant - job post,CBRE Excellerate,As a Junior Consultant at CBRE EXCELLERATE  you will play a crucial role in providing strategic guidance and support to clients in various industries  This position offers an excellent opportunity for individuals who are passionate about problem solving  analysing market trends  and helping clients make informed business decisions   Key Responsibilities  Research and Analysis  Conduct market research and analysis to gather data and insights into relevant industries  markets  and competitors  Summarize findings and present them to the project team  Client Interaction  Collaborate with clients to understand their business objectives  challenges  and requirements  Maintain a professional and responsive client relationship  Data Management  Collect  organize  and maintain relevant data  reports  and documentation  Ensure data accuracy and consistency throughout the project lifecycle  Financial Analysis  Assist in financial modeling and analysis to support recommendations and decision making processes  Interpret financial statements and assess the financial health of client organizations  Industry Knowledge  Stay up to date with industry trends  market conditions  and best practices to provide informed insights to clients  Team Collaboration  Work closely with senior consultants and cross functional teams to ensure projects are executed efficiently and meet client expectations     Skills Required     Bachelor s and or Master s degree in Business Administration related fields  such as finance  marketing  economics  or a similar discipline from reputable business schools  Strong analytical and problem solving skills  Excellent written and verbal communication skills in French and English  Proficiency in data analysis and financial modeling  Ability to work collaboratively in a team environment  Eagerness to learn and adapt to new challenges and industries  Attention to detail and a commitment to quality   Preferred Qualifications    Relevant internships or work experience in consulting  finance  or related fields  Understanding of market research techniques and methodologies 
Technical Sales Consulting in Air Conditioning - job post,HR HUB,Vous êtes passionné e  par l ingénierie et les solutions durables  Vous souhaitez débuter une carrière où vos compétences techniques se combinent à vos talents de communication   Nous avons une opportunité faite pour vous   Vos Missions   En tant que Technical Sales Consultant  vous jouerez un rôle clé en accompagnant nos clients dans leurs projets de climatisation performante et respectueuse de l environnement  Vos principales responsabilités incluront    Analyser les besoins des clients et proposer des solutions techniques adaptées en lien avec nos produits   Conseiller sur les technologies modernes  y compris celles liées aux énergies renouvelables et à l efficacité énergétique   Assurer des présentations techniques en anglais auprès de clients locaux et internationaux   Collaborer avec les équipes commerciales et techniques pour garantir la satisfaction client   Rester à jour sur les innovations technologiques dans le domaine du HVAC  Chauffage  Ventilation et Climatisation   Profil Recherché     Diplôme en ingénierie des énergies renouvelables  génie climatique  ou domaine connexe    Maîtrise de l anglais oral et écrit   indispensable pour interagir avec des clients et partenaires internationaux   Fort intérêt pour le domaine de la climatisation et les solutions durables    Esprit analytique et orientation solution   Capacité à communiquer de manière claire et persuasive  avec un excellent sens de l écoute   Une première expérience ou stage en vente technique est un atout  mais pas obligatoire  Pourquoi nous rejoindre     Formation complète pour bien comprendre nos produits et nos processus    Environnement dynamique et innovant  axé sur les solutions durables    Opportunités de développement de carrière dans un secteur en pleine expansion    Collaboration avec une équipe internationale  offrant une exposition culturelle enrichissante  Type d emploi   Temps plein
développement web - job post,EIN consulting,Description du poste   EIN Consulting est une société basée à TANGER nous cherchons des développeurs Fullstack   talentueux  motivés  et acharnés par le développement web  pour rejoindre une équipe engagée jeune et dynamique  Profil       Bac 2 ou Bac 3   Diplôme en informatique  développeurs Web Responsabilités     Travailler sur l ensemble du cycle de développement  de la conception de l architecture à la mise en œuvre et aux tests    Concevoir  développer et déployer des applications web efficaces  conviviales et évolutives    Participer à l optimisation des performances des applications et à la résolution des problèmes techniques    Suivre les meilleures pratiques en matière de développement logiciel et maintenir une veille technologique constante  Qualifications requises    Connaissances des technologies backend  Node js  Python  PHP    RESTful APIs    Connaissance des technologies frontend  Vue js  React js  Angular      Familiarité avec Linux  Docker et les outils de contrôle de version tels que Git    Expérience avec les bases de données relationnelles et non relationnelles  PostgreSQL  MariaDB  MongoDB     Contribuer à l automatisation des processus de déploiement et d exploitation à l aide de technologies de conteneurisation comme Docker    Capacité à travailler en équipe  à communiquer efficacement et à résoudre les problèmes de manière autonome  Type d emploi   CDI
Conseiller Clientèle à Temps Partiel - Week-ends et soirs - job post,110.55. Consulting,Rejoignez notre équipe dynamique à Casablanca   Nous recherchons un conseiller clientèle motivé pour un poste à temps partiel  spécifiquement pour les week ends et les soirs  Cette opportunité vous permettra de développer vos compétences tout en offrant un service client exceptionnel au sein de notre centre situé à Bouskoura  ville verte   Vos missions principales    Accueillir et assister nos clients  en personne ou par téléphone  avec courtoisie et professionnalisme  tout en incarnant les valeurs de notre entreprise  Établir et maintenir des relations positives avec notre clientèle  Présenter et promouvoir nos produits et services de manière convaincante  Assurer un suivi commercial attentif et répondre aux besoins éducatifs des clients avec rigueur   Profil recherché    Étudiant dynamique  avec un véritable intérêt pour le service client  Excellentes compétences en communication en français  tant à l oral qu à l écrit  Disponibilité les week ends pour travailler dans notre centre à Casablanca  Une première expérience dans la vente ou le service client est un plus  Capacité à comprendre et à répondre de manière proactive aux besoins éducatifs des clients   Informations supplémentaires    Type de contrat   Temps partiel  week ends et soirs   Lieu   Bouskoura  Rémunération   À la journée   Postulez dès maintenant pour rejoindre une équipe engagée et développer votre carrière dans le service client   Type d emploi   Temps partiel Capacité à faire le trajet ou à déménager   Bouskoura  Faire le trajet sans problème ou prévoir un déménagement avant de prendre son poste  Requis   Langue   français  Requis   Date de début prévue   30 10 2024
Responsable Trésorerie - Casa - job post,LION CONSULTING RH,Nous recrutons pour le compte de notre client  spécialisé dans le secteur industriel agroalimentaire  un e  Responsable Trésorerie H F expérimenté e   Salaire   12 000   14 000 DHLieu   Casablanca  Ain Sebaâ Missions    la mission principale   Restructurer et reconstituer le département financier  Superviser la gestion quotidienne de la trésorerie  en assurant une liquidité adéquate pour les opérations courantes  Élaborer des prévisions de trésorerie précises et mettre en place des stratégies pour optimiser les excédents de trésorerie  Gérer les relations avec les institutions financières et évaluer les options de financement pour soutenir les besoins de l entreprise  Garantir la fiabilité et la sécurité des flux de trésorerie  Élaborer et suivre le budget de trésorerie  en se basant sur les données fournies par le chef comptable  Mettre en place des reportings pour contrôler le respect de la politique de financement et ajuster les prévisions de trésorerie à court terme  Assurer le suivi des prévisions de trésorerie  y compris les recouvrements et le respect des délais de paiement  Participer au montage des financements d investissements   Qualifications    Diplôme Bac 3 5 en École Supérieure ou Université spécialisée en Économie  Comptabilité ou Finance  Expérience d au moins 3 ans dans la gestion comptable et financière  de préférence dans un contexte industriel agroalimentaire  Maîtrise des opérations bancaires  des outils de gestion de trésorerie  Sage  Excel  etc   et des logiciels financiers  Bonne connaissance de la fiscalité  notamment des échéances fiscales  Compétences solides en analyse  synthèse  et gestion des données comptables  Sens aigu du détail  rigueur et discrétion dans le traitement des informations  Force de proposition  réactivité et capacité à gérer les situations de crise  Excellente maîtrise de la langue française   Aisance relationnelle  patience  et capacité à résister au stress    ResponsableTrésorerie  GestionFinancière  Trésorerie  RecrutementMaroc  OffreEmploiMaroc  HiringNow  FinanceMaroc  Comptabilité  EmploiCasablanca  Casablanca  AinSebaâ  RH  OffreDemploi  Finance  Bilingue  Francophone  Agroalimentaire  GestionComptable  PrévisionsTrésorerie  GestionTrésorerie  OpportunitéCarrière  RecrutementFinance  CasablancaFinance  TrésorerieEntreprise  Budget  GestionDeCrise  Financement  ReportingFinancier  EmploiMaroc  Emploicasablanca  Casablanca  bouskoura  Témara  Salé  skhirat  rabat  kenitra  rh  recrute  hiring  offre  emploi  maroc  mohammedia Type d emploi   Temps plein Rémunération   12 000 00DH à 14 000 00DH par mois
