Title,Category,Skills
Natural Language Processing Specialization,Data Science | Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, "
Business Foundations Specialization,Business | Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, "
Meta React Native Specialization,Computer Science | Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, "
Mathematics for Machine Learning and Data Science Specialization,Computer Science | Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, "
Introduction to Finance and Accounting Specialization,Business | Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, "
AI Foundations for Everyone Specialization,Data Science | Data Analysis,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, "
Finance & Quantitative Modeling for Analysts Specialization,Business | Finance,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, "
Machine Learning Engineering for Production (MLOps) Specialization,Data Science | Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, "
Business and Financial Modeling Specialization,Business | Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, "
Business Analytics Specialization,Data Science | Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, "
Excel Skills for Business Specialization,Business | Business Essentials,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, "
Learn SQL Basics for Data Science Specialization,Data Science | Data Analysis,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, "
The Materiality of ESG Factors Specialization,Business | Finance,"ESG, Investment, Climate Change, Finance, social activism, "
AI For Business Specialization,Business | Leadership and Management,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, "
Digital Product Management Specialization,Computer Science | Design and Product,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, "
Leading the Modern Day Business Specialization,Business | Leadership and Management,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, "
Graphic Design Specialization,Arts and Humanities | Music and Art,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, "
Security Analyst Fundamentals Specialization,Information Technology | Security,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, "
Improve Your English Communication Skills Specialization,Language Learning | Learning English,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, "
Entrepreneurship Specialization,Business | Entrepreneurship,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, "
Foundations of Positive Psychology  Specialization,Business | Business Essentials,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, "
Data Science Specialization,Data Science | Data Analysis,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, "
Supply Chain Management Specialization,Business | Business Essentials,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, "
Fintech: Foundations & Applications of Financial Technology Specialization,Business | Business Essentials,"Investment Management, Cryptocurrency, regulation, Blockchain, "
Microsoft 365 Fundamentals Specialization,Business | Business Essentials,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, "
Search Engine Optimization (SEO) Specialization,Business | Marketing,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, "
AI Product Management Specialization,Data Science | Machine Learning,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, "
Introduction to Programming with Python and Java Specialization,Computer Science | Software Development,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, "
Construction Management Specialization,Business | Leadership and Management,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, "
IBM Introduction to Machine Learning Specialization,Data Science | Data Analysis,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, "
Data Analysis and Presentation Skills: the PwC Approach Specialization,Business | Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, "
AWS Fundamentals Specialization,Information Technology | Cloud Computing,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, "
Data Science: Foundations using R Specialization,Data Science | Data Analysis,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, "
Python 3 Programming Specialization,Computer Science | Software Development,"Json, Computer Programming, Python Programming, Sorting, "
Reinforcement Learning Specialization,Data Science | Machine Learning,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, "
Accelerated Computer Science Fundamentals Specialization,Computer Science | Algorithms,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), "
Digital Marketing Specialization,Business | Marketing,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, "
DevOps on AWS Specialization,Computer Science | Software Development,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, "
Generative Adversarial Networks (GANs) Specialization,Data Science | Machine Learning,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, "
Data Visualization with Tableau Specialization,Data Science | Data Analysis,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, "
Certified in Cybersecurity Specialization,Information Technology | Security,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, "
Business Strategy Specialization,Business | Business Strategy,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, "
Applied Data Science with Python Specialization,Data Science | Data Analysis,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), "
Human Resource Management: HR for People Managers Specialization,Business | Business Strategy,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, "
Achieving Personal and Professional Success Specialization,Personal Development | Personal Development,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, "
Regulatory Compliance Specialization,Business | Business Essentials,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, "
"TESOL Certificate, Part 1: Teach English Now! Specialization",Language Learning | Learning English,"Education, Online Learning, "
Financial Engineering and Risk Management Specialization,Business | Finance,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, "
UI / UX Design Specialization,Arts and Humanities | Music and Art,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, "
"Product Ideation, Design, and Management Specialization",Business | Marketing,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), "
Financial Analysis - Skills for Success Specialization,Business | Finance,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, "
Creative Writing Specialization,Arts and Humanities | Music and Art,"Short Story Writing, Fiction Writing, Creativity, Copy Editing, "
Data Structures and Algorithms Specialization,Computer Science | Algorithms,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, "
Software Product Management Specialization,Computer Science | Design and Product,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, "
Foundations of Management Specialization,Business | Leadership and Management,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, "
Genomic Data Science Specialization,Data Science | Data Analysis,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, "
Methods and Statistics in Social Sciences Specialization,Social Sciences | Governance and Society,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), "
"NoSQL, Big Data, and Spark Foundations Specialization",Information Technology | Data Management,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, "
Think like a CFO Specialization,Business | Finance,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment, "
TensorFlow: Advanced Techniques Specialization,Data Science | Machine Learning,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization, "
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Data Science | Machine Learning,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing, "
Mathematics for Machine Learning Specialization,Data Science | Machine Learning,"Eigenvalues And Eigenvectors, Principal Component Analysis (PCA), Multivariable Calculus, Linear Algebra, Basis (Linear Algebra), Transformation Matrix, Linear Regression, Vector Calculus, Gradient Descent, Dimensionality Reduction, Python Programming, "
Modern and Contemporary Art and Design Specialization,Arts and Humanities | Music and Art,"Photography, Design, Art, History, Museums, Creativity, Art History, Art Direction, "
Agile Development Specialization,Computer Science | Design and Product,"hypothesis-driven development, Design Thinking, User Experience (UX), agile, Lean Startup, agile user stories, User Experience Design (UXD), Agile Software Development, Product Management, Software Development, Usability Testing, Continuous Delivery, "
Career Success Specialization,Business | Business Essentials,"Project Management, Information Technology (IT) Management, Communication, Negotiation, Leadership, Team Management, Task Management, Management, Planning, Plan, Accounting, Financial Ratio, "
U.S. Federal Taxation Specialization,Business | Business Essentials,"Depreciation, Federal Tax Returns, Tax Law, "
The Business of Music Production Specialization,Arts and Humanities | Music and Art,"Copyright, Music production, Contracts, Pro Tools, Music recording, Music business, Revenue streams, Teambuilding, Audio Production, Music, Songwriting, Create music legally, "
The Business of Health Care Specialization,Health | Healthcare Management,"Insurance, Health Economics, "
Practical Data Science on the AWS Cloud Specialization,Data Science | Machine Learning,"Natural Language Processing with BERT, ML Pipelines and ML Operations (MLOps), A/B Testing and Model Deployment, Data Labeling at Scale, Automated Machine Learning (AutoML), Statistical Data Bias Detection, Multi-class Classification with FastText and BlazingText, Data ingestion, Exploratory Data Analysis, ML Pipelines and MLOps, Model Training and Deployment with BERT, Model Debugging and Evaluation, "
Risk Management Specialization,Business | Finance,"Credit Risk Measurement and Management, Application of Financial Statistics and Probability, Market Risk Measurement and Management, Operational Risk Measurement and Management, Risk Management, Financial Risk, Leadership and Financial Risk Estimation and Management, Regulations, Credit Analysis, Financial Analysis, credit risk, Market Risk Management, "
Music Production Specialization,Arts and Humanities | Music and Art,"Audio Recording, Music, Music production, Sound Design, Audio Editing, Audio Production, Songwriting, Music recording, MIDI, Pro Tools, music editing, Music mixing, "
Google Cloud Database Engineer Specialization,Information Technology | Cloud Computing,"Cloud Platforms, Cloud Storage, Google Cloud Platform, Google Compute Engine, Google App Engine (GAE), Cloud Computing, MySQL, cloud sql, SQL Operations, Database (DBMS), Data Management, Postgresql, "
Architecting with Google Compute Engine Specialization,Information Technology | Cloud Computing,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling, "
Global Procurement and Sourcing Specialization,Business | Leadership and Management,"Negotiation, Contracts, "
Entrepreneurship: Growing Your Business Specialization,Business | Business Strategy,"Entrepreneurship, Leadership & Management, Innovation, Finance, HR Tech, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Leadership, Business Ethics, Ethical Leadership, "
Six Sigma Yellow Belt Specialization,Business | Leadership and Management,"Project Management, Lean Six Sigma, Binomial Distribution, Six Sigma, Process Improvement, Lean Methods, Statistics, Data Analysis, Causality, "
The DIY Musician Specialization,Arts and Humanities | Music and Art,"Crowdfunding, Music production, Social Media, Songwriting, Music recording, Music, Poetry, Audio Production, MIDI, Pro Tools, Music business, Marketing, "
Algorithms Specialization,Computer Science | Algorithms,"Algorithms, Dynamic Programming, Greedy Algorithm, Divide And Conquer Algorithms, Randomized Algorithm, Sorting Algorithm, Graphs, Data Structure, Hash Table, Spanning Tree, Np-Completeness, "
"Influencing: Storytelling, Change Management and Governance Specialization",Business | Leadership and Management,"Change Management, Communication, Negotiation, Risk governance, "
Applied Data Science with R Specialization,Data Science | Data Analysis,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression, "
Geographic Information Systems  (GIS) Specialization,Data Science | Data Analysis,"Geographic Information System (GIS), Satellite, Imagery Analysis, Model Building, spatial visualization, Spatial Analysis, Data Analysis, Data Visualization (DataViz), Software, Analytics, Workflow, Data Management, "
Decentralized Finance (DeFi): The Future of Finance Specialization,Business | Finance,"Cryptography, Smart Contract, Decentralized Protocols, governance, Blockchain Mechanics, Consensus mechanisms, digital signature, Address mechanics, Flash loans, Bonding curves, Set Protocol’s tokenization method, Mechanics of Compound and Aave, "
Project Management & Other Tools for Career Development Specialization,Business | Business Essentials,"Project Management, Risk Management, Communication, Negotiation, Project, Planning, Project Planning, Change Control, Change Management, Email Writing, Proofreading, Writing, "
Project Management Principles and Practices Specialization,Business | Business Essentials,"Schedule, Project Management, Risk Management, Budget, Project, Planning, Project Planning, Budget Estimation, Change Control, Change Management, "
Java Programming and Software Engineering Fundamentals Specialization,Computer Science | Software Development,"HTML, JavaScript, Cascading Style Sheets (CSS), Java Programming, Html5, Algorithms, Problem Solving, String (Computer Science), Data Structure, Cryptography, Hash Table, Programming Principles, "
MATLAB Programming for Engineers and Scientists Specialization,Computer Science | Software Development,"Matlab, Data Analysis, Object-Oriented Programming (OOP), Image Processing, Computer Programming, Problem Solving, Programming Language, "
Design Thinking Specialization,Business | Leadership and Management,"Creativity, Strategic Thinking, Design Thinking, Innovation Management, Innovation, "
Architecting with Google Kubernetes Engine Specialization,Information Technology | Cloud Computing,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, "
Security in Google Cloud Specialization,Information Technology | Security,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, "
Leading People and Teams Specialization,Business | Leadership and Management,"Vision Alignment, Talent Management, Goals and Rewards, Motivate Employees, Leadership, goal setting, Communication, Leadership Development, Onboarding, Coaching, Recruitment, Management, "
Coding for Everyone: C and C++ Specialization,Computer Science | Software Development,"Algorithms, C Programming, Coding, C++, Computer Programming, Graph Theory, C++11, Graph Algorithms, Standard Template Library, "
Developing Applications with Google Cloud Specialization,Computer Science | Software Development,"Debugging, Google Cloud Platform, Cloud Storage, Application development, Cloud Computing, Google Compute Engine, Google App Engine (GAE), Data Store, Application Programming Interfaces (API), Cloud Functions, Identity Management (IDM), Cloud Endpoints, "
Real-World Product Management Specialization,Computer Science | Design and Product,"PM Interviewing, Real-World Examples, Product Management, Real-World Assignments, Technology Leadership, Go-to-market Strategy, Product/Market Fit, Tech Leadership, B2B Sales, Monetization Strategy, A/B/n testing, Customer Retention, "
Pricing Strategy Optimization Specialization,Business | Marketing,"Cost-Based Pricing, Pricing Strategies, Market-Based Pricing, Customer Value-based Pricing, Strategic Management, Channel and Direct-to-Consumer Pricing, Price Discrimination, Price Elasticity Of Demand, Customer Willingness to Pay, Measuring Customer Preferences, Customer Psychology, Competitor Pricing Models, "
Networking in Google Cloud Specialization,Information Technology | Networking,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, "
Academic English: Writing Specialization,Social Sciences | Education,"Punctuation, Essay Writing, Academic Writing, Writing, English Grammar, Grammar, Creative Writing, "
Introduction to Cyber Security Specialization,Computer Science | Computer Security and Networks,"Cryptography, Cybersecurity, Risk Assessment, Cyber Defense, Cyber Attacks, Information Security (INFOSEC), Denial-Of-Service Attack (DOS), Public-Key Cryptography, "
Business Data Management and Communication Specialization,Data Science | Data Analysis,"Asset Management, Business Analytics, Financial Accounting, Data Analysis, Rstudio, Accounting, Accrual, Financial Statement, Cash Flow, Cash Flow Statement, Analytics, Health Care, "
Intellectual Property Law Specialization,Business | Business Strategy,"Brand Management, Strategic Thinking, Planning, Intellectual Property, Business Strategy, Asset Management, Value Proposition, Copyright, Copyright Protection, Fair Use, Marketing, Strategic Planning, "
The Singer Songwriter Specialization,Arts and Humanities | Music and Art,"Music production, Ableton, Singing, Songwriting, Guitar, Tablature, Music notation, Guitar scales, Guitar chords, Popular Music, Breathing Techniques, Belting, "
AI for Medicine Specialization,Data Science | Machine Learning,"model interpretation, Image Segmentation, natural language extraction, Machine Learning, time-to-event modeling, Deep Learning, model evaluation, Multi-class classification, Random Forest, model tuning, treatment effect estimation, machine learning interpretation, "
Mergers and Acquisitions  Specialization,Business | Finance,"Financial Accounting, Financial Modeling, Mergers And Acquisitions (M&A), Corporate Investments, Accounting, Taxes, Financial Statement, Corporate Accouting, "
Dynamic Public Speaking Specialization,Personal Development | Personal Development,"Communication, Presentation, Speech, Public Speaking, Confidence, "
Supply Chain Analytics Specialization,Business | Business Essentials,"Data Analysis, Supply Chain, Business Intelligence, Demand and Supply Planning, job intelligence, Management Consulting, Benchmarking, Competitive Analysis, Model Selection Validation Improvement, Regression Analysis, Demand Planning and Forecasting, Data Visualization (DataViz), "
Six Sigma Black Belt Specialization,Business | Leadership and Management,"Statistics, Math, "
Strategic Leadership and Management Specialization,Business | Leadership and Management,"Strategic Management, Negotiation, Leadership, Business Strategy, self-awareness, Ethical decision-making, Defining Leadership, Trust in relationships, Leadership Development, Develop team culture, Navigate growth and change in teams, Create space for DEIB, "
Music Education for Teachers Specialization,Social Sciences | Education,"Music, Music production, Improvisation, Songwriting, Music Education, classroom management, Curriculum Design, Teaching, Learning, Music Performance, Jazz, Jazz Improvisation, "
Project Management Specialization,Business | Leadership and Management,"Engineering management, Agile Management, Risk Management, Stakeholder Communications, Project Management, Resource Management, Business Communication, Team Management, Project Planning, budget management, Servant Leadership, Strategic Management, "
User Experience Research and Design Specialization,Computer Science | Design and Product,"User Research, Affinity Diagram, human computer interaction, User Experience (UX), User Experience Design (UXD), Adobe Photoshop, "
Good with Words: Writing and Editing Specialization,Personal Development | Personal Development,"Persuasion, Creativity, Writing, Time management, Editing, "
Drug Development Product Management Specialization,Health | Healthcare Management,"Marketing, Drug Regulations, Drug Discovery, Clinical Trials, Pharmacology, Drug Development, Clinical Development, Pharmacokinetics, Clinical Research, Clinical Trial Design, "
Excel Skills for Data Analytics and Visualization Specialization,Business | Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Data Cleansing, Big Data, power bi, "
"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",Health | Nutrition,"mindful eating, sensible shopping, sustainable eating, food mindfulness, Cooking, Devise a customized plan for optimizing your eating patterns., Rebuild your relationship with food by learning to genuinely love the foods that will support your health in the long term., Practice self-compassion with regard to your eating behaviors and food choices., Observe your own unique eating patterns and identify areas of improvement., Practice food mindfulness or mindful eating on a day-to-day basis., How to identify sustainably caught (or farmed) fish and seafood, How to choose more sustainably raised meat and chicken when shopping at the supermarket (if you eat these foods), "
