StudentID,Major,Skills,Languages,Location,ExtracurricularActivities,GPA
90,Psychology,"Programming, Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis","French, Japanese, English, German, Spanish, Chinese",Los Angeles,Music Club,3.73
91,Computer Science,"Artistic, Leadership, Programming, Problem Solving","Spanish, German, Chinese, English, Japanese",Los Angeles,Volunteer Group,3.27
92,Physics,"Problem Solving, Leadership, Artistic, Public Speaking, Data Analysis",German,Boston,Music Club,3.71
93,Mathematics,Data Analysis,"French, Chinese",Boston,Art Club,2.03
94,Computer Science,Leadership,"English, Chinese, German, Japanese, French, Spanish",San Francisco,Sports Team,2.15
95,Physics,"Programming, Leadership, Problem Solving, Data Analysis","German, French, Chinese, Japanese, English",New York,Volunteer Group,3.04
96,History,Data Analysis,"English, Japanese, Chinese",Chicago,Art Club,2.8
97,Biology,"Artistic, Data Analysis","English, French, Japanese, German, Chinese",San Francisco,Music Club,2.66
98,Biology,Data Analysis,"Chinese, Spanish",San Francisco,Coding Club,2.25
99,History,"Leadership, Programming, Data Analysis, Public Speaking, Artistic, Problem Solving","Chinese, Spanish, German",Chicago,Debate Club,2.94
100,Psychology,"Public Speaking, Leadership, Artistic, Programming, Problem Solving","Spanish, French, Chinese",San Francisco,Music Club,2.67
101,Biology,"Data Analysis, Problem Solving, Artistic, Programming, Public Speaking","English, Chinese, French",New York,Coding Club,3.98
102,Biology,"Leadership, Programming, Data Analysis, Public Speaking","German, French, Japanese",San Francisco,Music Club,3.52
103,History,"Public Speaking, Problem Solving, Programming, Data Analysis","German, Japanese, English, Chinese, French, Spanish",New York,Debate Club,3.68
104,Mathematics,"Leadership, Programming, Data Analysis, Problem Solving, Public Speaking","French, Japanese, Spanish, German, English, Chinese",Los Angeles,Debate Club,3.57
105,Biology,"Leadership, Artistic, Programming, Data Analysis","Japanese, English, Spanish, Chinese, French, German",San Francisco,Coding Club,3.87
106,Psychology,"Data Analysis, Programming, Public Speaking, Artistic, Problem Solving, Leadership","English, German, Chinese",Chicago,Volunteer Group,2.17
107,Biology,"Leadership, Artistic, Problem Solving, Public Speaking","French, Spanish, Chinese, German",Houston,Coding Club,2.64
108,Psychology,"Programming, Data Analysis, Public Speaking, Problem Solving, Artistic","Spanish, English, French, Chinese",New York,Music Club,3.69
109,Physics,"Data Analysis, Public Speaking, Problem Solving, Artistic","Japanese, German, French, English, Chinese",New York,Volunteer Group,3.78
110,Physics,"Programming, Leadership","Spanish, English, Chinese",San Francisco,Debate Club,2.97
111,Computer Science,"Public Speaking, Artistic, Leadership","Spanish, German, Japanese",Los Angeles,Music Club,3.64
112,Physics,Artistic,Japanese,Los Angeles,Debate Club,2.98
113,History,"Data Analysis, Programming",Spanish,Boston,Volunteer Group,3.56
114,Mathematics,"Programming, Artistic, Data Analysis","Spanish, Chinese, English",Chicago,Debate Club,3.69
115,Mathematics,Problem Solving,"German, Japanese",New York,Coding Club,2.69
116,History,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking","English, Spanish",Boston,Coding Club,2.57
117,Physics,"Data Analysis, Leadership, Artistic, Problem Solving, Programming, Public Speaking","German, English, Japanese, Spanish, French, Chinese",Boston,Sports Team,2.31
118,Biology,"Public Speaking, Problem Solving, Leadership","Chinese, Spanish, Japanese",San Francisco,Volunteer Group,2.43
119,Computer Science,Artistic,"Japanese, Spanish, Chinese, English",San Francisco,Sports Team,2.34
120,Mathematics,"Problem Solving, Programming, Public Speaking, Artistic","German, English, Japanese",New York,Volunteer Group,2.75
121,History,"Data Analysis, Programming, Public Speaking, Leadership, Problem Solving, Artistic","Chinese, English, German, Japanese, Spanish",Chicago,Art Club,2.37
122,Physics,"Programming, Leadership","Spanish, English, German",Boston,Debate Club,2.12
123,Computer Science,"Public Speaking, Programming","English, Spanish, Chinese, French, German, Japanese",Chicago,Debate Club,2.17
124,Biology,"Public Speaking, Data Analysis, Leadership, Problem Solving","Chinese, German",Los Angeles,Debate Club,3.56
125,Computer Science,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving","Japanese, French",San Francisco,Music Club,2.47
126,Biology,"Artistic, Problem Solving","German, English, Spanish, French, Chinese",Houston,Volunteer Group,3.5
127,Biology,"Artistic, Leadership","Spanish, French, Japanese, German",Los Angeles,Volunteer Group,3.79
128,History,"Programming, Problem Solving","German, Spanish, English, Japanese",Boston,Debate Club,3.02
129,Computer Science,Public Speaking,"French, Chinese, Spanish",Houston,Debate Club,3.75
130,Physics,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming","German, English, French",San Francisco,Art Club,3.53
131,Psychology,"Public Speaking, Programming, Problem Solving, Artistic","French, Spanish",Houston,Music Club,2.66
132,Computer Science,"Data Analysis, Artistic",Chinese,San Francisco,Sports Team,2.22
133,History,"Leadership, Problem Solving, Artistic, Public Speaking","Chinese, Spanish, German, English, Japanese",Chicago,Debate Club,2.38
134,Mathematics,"Public Speaking, Problem Solving, Artistic, Programming","Spanish, Chinese, French, English, Japanese",Los Angeles,Volunteer Group,3.13
135,Physics,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming","French, German, Spanish, Japanese, English, Chinese",Houston,Music Club,3.35
136,Physics,"Public Speaking, Artistic, Leadership","Japanese, Chinese, French, English",San Francisco,Debate Club,2.33
137,Computer Science,Data Analysis,"German, English, Japanese, Spanish, Chinese",New York,Volunteer Group,2.99
138,Biology,"Leadership, Problem Solving","English, French, German, Chinese, Spanish",Houston,Sports Team,2.51
139,Computer Science,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming, Artistic",Chinese,Los Angeles,Volunteer Group,3.04
140,History,"Programming, Data Analysis, Problem Solving, Leadership, Public Speaking, Artistic","English, Chinese, Spanish, German",New York,Debate Club,2.91
141,Physics,"Programming, Public Speaking, Artistic, Leadership, Data Analysis, Problem Solving","German, Chinese, English, Japanese",New York,Coding Club,2.65
142,Psychology,"Leadership, Artistic","English, French, German",Chicago,Art Club,2.47
143,Psychology,"Artistic, Problem Solving, Data Analysis, Programming","Japanese, German, English, Chinese, Spanish",Chicago,Art Club,2.82
144,Biology,"Artistic, Problem Solving, Leadership, Data Analysis, Programming, Public Speaking","French, English, Spanish",Los Angeles,Art Club,3.26
145,Physics,"Programming, Artistic, Leadership, Data Analysis","English, Spanish, German",San Francisco,Art Club,3.08
146,Computer Science,"Data Analysis, Leadership, Programming, Artistic",Chinese,Los Angeles,Sports Team,2.82
147,Computer Science,Leadership,"Spanish, English, German, Chinese, French",Los Angeles,Sports Team,3.97
148,Mathematics,"Public Speaking, Problem Solving, Programming, Artistic, Data Analysis","Japanese, Spanish, German, French",Chicago,Music Club,3.61
149,Mathematics,"Public Speaking, Data Analysis","Chinese, German, French, Spanish, English",Boston,Sports Team,2.07
150,Mathematics,Data Analysis,Japanese,Boston,Coding Club,2.93
151,Psychology,"Artistic, Problem Solving, Public Speaking, Leadership, Programming","English, Spanish, German",Chicago,Volunteer Group,3.71
152,Computer Science,"Data Analysis, Programming, Public Speaking, Problem Solving","German, English, Japanese, Chinese, French, Spanish",Houston,Coding Club,2.57
153,Psychology,"Artistic, Problem Solving, Data Analysis, Programming, Leadership, Public Speaking",Chinese,Houston,Sports Team,2.78
154,Physics,"Public Speaking, Data Analysis","French, English, Japanese",Houston,Art Club,2.63
155,Biology,Public Speaking,Japanese,San Francisco,Coding Club,2.7
156,History,"Leadership, Programming","Japanese, English, French, Chinese, Spanish",Los Angeles,Debate Club,2.98
157,Physics,"Programming, Public Speaking, Problem Solving, Leadership, Artistic, Data Analysis","Spanish, German, English, Japanese, French",New York,Art Club,3.59
158,Mathematics,"Leadership, Artistic","Chinese, Japanese, English, Spanish, French",San Francisco,Volunteer Group,3.68
159,Biology,"Public Speaking, Artistic, Leadership, Data Analysis","German, Spanish, English, French, Chinese",Houston,Sports Team,3.86
160,Physics,"Artistic, Data Analysis, Programming, Problem Solving","French, Japanese, English, German, Chinese",Chicago,Sports Team,3.34
161,Mathematics,"Public Speaking, Leadership, Programming","French, English, Japanese",Boston,Sports Team,3.53
162,Biology,"Artistic, Problem Solving, Programming, Data Analysis","Spanish, Japanese",New York,Volunteer Group,2.04
163,Mathematics,"Public Speaking, Leadership, Artistic, Programming","Chinese, Japanese, German, English, Spanish, French",New York,Volunteer Group,3.6
164,History,Artistic,"Chinese, German",New York,Art Club,3.38
165,Psychology,"Problem Solving, Data Analysis, Programming, Leadership, Artistic, Public Speaking",English,San Francisco,Music Club,3.18
166,Computer Science,"Data Analysis, Leadership, Problem Solving",English,San Francisco,Sports Team,3.8
167,Mathematics,Problem Solving,"German, Japanese, Spanish, English",New York,Music Club,2.31
168,Psychology,"Programming, Leadership","German, English, Chinese, Spanish, French",Los Angeles,Debate Club,3.01
169,Psychology,"Public Speaking, Programming, Artistic, Data Analysis, Problem Solving, Leadership",Spanish,Boston,Art Club,3.68
170,Psychology,"Data Analysis, Leadership, Problem Solving, Public Speaking","Spanish, Chinese, English, German, Japanese",San Francisco,Coding Club,3.69
171,Psychology,"Artistic, Problem Solving","French, German, Spanish, Chinese",San Francisco,Debate Club,2.83
172,History,Leadership,French,Los Angeles,Debate Club,3.81
173,History,"Problem Solving, Artistic","Spanish, German, Chinese",Los Angeles,Debate Club,3.19
174,History,"Artistic, Data Analysis","French, Chinese, German, Spanish, Japanese",New York,Coding Club,2.06
175,Mathematics,"Leadership, Artistic, Programming","Chinese, German",San Francisco,Sports Team,3.97
176,History,"Problem Solving, Artistic, Programming, Data Analysis, Public Speaking, Leadership","German, Japanese",San Francisco,Art Club,3.0
177,Computer Science,"Programming, Public Speaking, Problem Solving, Leadership, Data Analysis","English, German",Los Angeles,Debate Club,3.27
178,Psychology,"Data Analysis, Artistic, Public Speaking, Problem Solving, Programming",Japanese,San Francisco,Volunteer Group,2.96
179,Mathematics,"Problem Solving, Leadership, Public Speaking, Data Analysis",English,Los Angeles,Debate Club,3.31
180,Psychology,"Problem Solving, Leadership, Programming, Artistic, Public Speaking, Data Analysis","German, Chinese, Spanish, English, Japanese",Boston,Art Club,3.81
181,Computer Science,"Problem Solving, Leadership, Data Analysis, Artistic","Spanish, Japanese, English, German, Chinese, French",Los Angeles,Volunteer Group,3.53
182,Psychology,"Programming, Data Analysis, Artistic",Spanish,San Francisco,Art Club,3.9
183,Mathematics,"Public Speaking, Leadership, Problem Solving, Programming, Data Analysis","Japanese, Chinese, Spanish, German, English",Chicago,Volunteer Group,3.01
184,History,"Problem Solving, Artistic, Public Speaking, Data Analysis, Leadership, Programming","French, German, English, Chinese, Spanish",Chicago,Volunteer Group,3.38
185,History,"Leadership, Programming, Artistic","Japanese, Chinese, Spanish",Chicago,Music Club,2.93
186,Biology,"Artistic, Data Analysis, Public Speaking, Programming, Leadership","English, Japanese, German, French, Spanish, Chinese",Houston,Coding Club,3.18
187,Biology,"Leadership, Programming","Chinese, English, German, Spanish, Japanese",San Francisco,Music Club,3.27
188,Computer Science,"Programming, Data Analysis, Public Speaking, Artistic, Leadership","German, English",Houston,Music Club,2.77
189,Biology,"Programming, Artistic, Data Analysis, Leadership","Spanish, English, French, German, Chinese, Japanese",Houston,Coding Club,3.22
190,Psychology,"Programming, Artistic","French, English, German, Japanese, Chinese, Spanish",San Francisco,Volunteer Group,3.19
191,Mathematics,"Public Speaking, Data Analysis","German, Spanish, English, Japanese",Chicago,Volunteer Group,2.4
192,Psychology,Programming,"English, French, German, Japanese",Los Angeles,Coding Club,3.92
193,Biology,Artistic,"German, Japanese, Spanish, English, French",Boston,Art Club,2.19
194,History,Leadership,"English, Spanish",Boston,Coding Club,2.01
195,Biology,Programming,"French, Japanese",San Francisco,Volunteer Group,2.12
196,Physics,"Programming, Problem Solving, Data Analysis, Artistic, Public Speaking, Leadership","French, Chinese, Japanese",Houston,Sports Team,3.09
197,Biology,"Leadership, Programming",Japanese,Chicago,Volunteer Group,2.64
198,Psychology,Data Analysis,"Japanese, Spanish, French, English, German",Los Angeles,Sports Team,3.61
199,History,"Artistic, Public Speaking","English, Chinese, Japanese, German, Spanish, French",New York,Music Club,2.85
200,History,"Problem Solving, Data Analysis, Leadership, Artistic","French, Spanish, German, Japanese, Chinese",Boston,Music Club,2.58
201,Computer Science,"Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking","French, Chinese",New York,Volunteer Group,2.8
202,Mathematics,"Public Speaking, Artistic, Programming, Data Analysis, Leadership, Problem Solving","German, French",New York,Music Club,2.14
203,History,"Leadership, Artistic, Data Analysis, Problem Solving, Public Speaking, Programming","Chinese, Spanish, German, French, English, Japanese",Boston,Music Club,3.19
204,Computer Science,"Leadership, Problem Solving",Japanese,Houston,Debate Club,2.52
205,Computer Science,Programming,"French, Spanish, Japanese, German",Chicago,Debate Club,2.66
206,Biology,Data Analysis,"French, Spanish, Japanese, Chinese, English, German",Boston,Sports Team,3.93
207,Physics,"Problem Solving, Artistic, Data Analysis","French, Spanish, German, English",San Francisco,Art Club,3.48
208,Physics,"Data Analysis, Public Speaking, Artistic","Chinese, English, German, Spanish, Japanese",San Francisco,Volunteer Group,3.31
209,Computer Science,"Problem Solving, Leadership, Artistic, Data Analysis, Public Speaking, Programming","French, German",Boston,Art Club,3.5
210,Physics,"Problem Solving, Public Speaking, Programming, Leadership","Japanese, German, French",Los Angeles,Music Club,3.76
211,Computer Science,"Public Speaking, Programming, Data Analysis","Japanese, English, Spanish, French, German, Chinese",Los Angeles,Music Club,2.69
212,Psychology,"Leadership, Programming, Data Analysis, Artistic, Problem Solving",Japanese,Los Angeles,Coding Club,2.47
213,Computer Science,"Public Speaking, Programming, Data Analysis","French, German, Japanese, English",Houston,Sports Team,3.79
214,Biology,Artistic,"English, Japanese, Chinese, Spanish",Los Angeles,Volunteer Group,3.34
215,History,"Leadership, Artistic, Public Speaking, Programming, Problem Solving","French, Japanese",New York,Art Club,2.99
216,History,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving","French, Chinese, German, Japanese",Boston,Volunteer Group,3.16
217,History,"Data Analysis, Artistic, Problem Solving, Programming, Public Speaking, Leadership","English, Spanish",New York,Debate Club,2.69
218,Biology,"Programming, Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking","French, Japanese, Chinese, English, Spanish",Los Angeles,Coding Club,3.06
219,Biology,"Programming, Problem Solving, Data Analysis, Public Speaking, Artistic, Leadership","Spanish, Japanese, German",Chicago,Art Club,3.59
220,Biology,"Data Analysis, Leadership","Spanish, English, Japanese, German, French",San Francisco,Art Club,3.24
221,History,"Programming, Data Analysis, Public Speaking, Problem Solving","German, Japanese, Spanish",San Francisco,Debate Club,2.1
222,Physics,"Data Analysis, Artistic, Public Speaking",Spanish,New York,Volunteer Group,3.49
223,Biology,"Leadership, Problem Solving, Data Analysis","Japanese, English, Spanish, Chinese, French",Boston,Volunteer Group,2.06
224,Physics,"Programming, Public Speaking, Problem Solving, Artistic, Leadership, Data Analysis","French, German, Spanish, Chinese, English, Japanese",Chicago,Coding Club,2.54
225,Biology,"Leadership, Public Speaking, Programming, Problem Solving","Spanish, English, Chinese, German",Los Angeles,Sports Team,2.87
226,Computer Science,"Leadership, Public Speaking","Chinese, English, French, German, Japanese",Los Angeles,Volunteer Group,3.26
227,Mathematics,"Leadership, Problem Solving, Programming, Public Speaking","Japanese, Chinese, Spanish, English",Houston,Coding Club,3.07
228,Computer Science,Public Speaking,"Spanish, French, Chinese, German",New York,Volunteer Group,2.87
229,Mathematics,Leadership,"German, Spanish, French",San Francisco,Sports Team,3.78
230,Biology,"Programming, Public Speaking, Leadership, Artistic, Data Analysis","Chinese, Japanese, French",Houston,Coding Club,3.27
231,Biology,"Programming, Problem Solving, Artistic, Public Speaking, Leadership, Data Analysis","Spanish, English, French, Japanese",San Francisco,Music Club,2.5
232,Mathematics,Data Analysis,Spanish,Los Angeles,Music Club,3.75
233,Biology,"Programming, Problem Solving, Data Analysis","German, Japanese, English, French, Chinese",San Francisco,Coding Club,2.53
234,Biology,"Programming, Leadership, Public Speaking, Data Analysis, Problem Solving","Spanish, English, Chinese",Houston,Volunteer Group,3.47
235,History,"Problem Solving, Public Speaking","Spanish, English, French, Chinese",New York,Music Club,3.64
236,Physics,Leadership,"German, French",Chicago,Debate Club,3.25
237,Mathematics,"Problem Solving, Leadership, Programming, Public Speaking, Data Analysis","German, Japanese, French, Spanish",Los Angeles,Coding Club,3.06
238,History,"Problem Solving, Artistic, Leadership, Data Analysis, Programming, Public Speaking","Japanese, German, French",Boston,Music Club,3.47
239,Psychology,"Programming, Data Analysis, Problem Solving, Public Speaking","English, French, German",Chicago,Music Club,3.63
240,History,Problem Solving,"Spanish, French, German, English",San Francisco,Music Club,2.84
241,Mathematics,"Problem Solving, Programming, Leadership, Artistic, Public Speaking","Japanese, German, Chinese",Los Angeles,Volunteer Group,2.73
242,Physics,"Problem Solving, Data Analysis","English, German, French, Japanese, Chinese, Spanish",Houston,Music Club,3.39
243,Physics,"Data Analysis, Artistic, Leadership, Problem Solving, Programming, Public Speaking",Chinese,Boston,Art Club,3.09
244,Computer Science,Artistic,"German, English, Spanish",Chicago,Music Club,3.19
245,Biology,"Public Speaking, Programming",French,San Francisco,Sports Team,3.02
246,Psychology,"Leadership, Public Speaking","French, Chinese, English, German, Spanish, Japanese",San Francisco,Debate Club,3.18
247,Biology,Public Speaking,French,Chicago,Coding Club,3.48
248,History,"Data Analysis, Artistic, Leadership, Programming, Public Speaking, Problem Solving","German, English, Chinese, French",Los Angeles,Music Club,2.21
249,Mathematics,"Public Speaking, Data Analysis, Programming, Leadership, Artistic","English, French",Houston,Volunteer Group,3.59
250,Physics,"Public Speaking, Problem Solving, Data Analysis, Artistic","German, Spanish",Houston,Coding Club,2.58
251,History,"Data Analysis, Leadership, Problem Solving, Programming",Spanish,Houston,Volunteer Group,3.24
252,Mathematics,"Artistic, Programming, Problem Solving, Public Speaking, Leadership","Chinese, Japanese, German",Boston,Art Club,2.11
