Resume_ID,Resume_Category,Top_Matched_Jobs,Job_IDs,Similarities
10,Data Science,"['Senior Data Analyst', 'Data scientist intern - job post', 'Fraud Resolution Analyst']","[465, 957, 191]","[0.22043261395883396, 0.19177531445526316, 0.17826051547021465]"
11,Data Science,"['Junior Data Scientist - job post', 'Data scientist intern - job post', 'Senior AI Developer - job post']","[962, 957, 1026]","[0.18830066113383412, 0.12666853638060663, 0.11621890167464588]"
12,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data scientist intern - job post']","[964, 465, 957]","[0.15058749105744174, 0.14155437065558119, 0.14003424436049167]"
13,Data Science,"['Sr. System Administrator', 'Senior Data Analyst', 'Data Analytics Senior Mangager']","[560, 465, 539]","[0.3469366979278251, 0.24718250669273897, 0.20505183113600958]"
14,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data Engineer - job post']","[964, 465, 965]","[0.19708247579139637, 0.16176570992639977, 0.15654032623058234]"
15,Data Science,"['Junior Data Scientist - job post', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[962, 964, 957]","[0.18150925614309238, 0.17632850338933057, 0.17361237097972465]"
16,Data Science,"['Data Scientist - job post', 'Data Engineer Intern - job post', 'Senior Data Analyst']","[966, 964, 465]","[0.3647420508053373, 0.35954216479397133, 0.35783894224349005]"
17,Data Science,"['Senior AI Developer - job post', 'AI Machine Learning Optimization Engineer H/F - job post', 'Junior Data Scientist - job post']","[1026, 873, 962]","[0.26711722393675275, 0.2538752111176207, 0.2520843749119026]"
18,Data Science,"['Senior AI Developer - job post', 'Data scientist intern - job post', 'AI Machine Learning Optimization Engineer H/F - job post']","[1026, 957, 873]","[0.2820631797897867, 0.2244359199301478, 0.22050622753901286]"
19,Data Science,"['Senior Data Analyst', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[465, 964, 957]","[0.3604307359403921, 0.3498691171380204, 0.3088038204113386]"
20,Data Science,"['Senior Data Analyst', 'Data scientist intern - job post', 'Fraud Resolution Analyst']","[465, 957, 191]","[0.22043261395883396, 0.19177531445526316, 0.17826051547021465]"
21,Data Science,"['Junior Data Scientist - job post', 'Data scientist intern - job post', 'Senior AI Developer - job post']","[962, 957, 1026]","[0.18830066113383412, 0.12666853638060663, 0.11621890167464588]"
22,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data scientist intern - job post']","[964, 465, 957]","[0.15058749105744174, 0.14155437065558119, 0.14003424436049167]"
23,Data Science,"['Sr. System Administrator', 'Senior Data Analyst', 'Data Analytics Senior Mangager']","[560, 465, 539]","[0.3469366979278251, 0.24718250669273897, 0.20505183113600958]"
24,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data Engineer - job post']","[964, 465, 965]","[0.19708247579139637, 0.16176570992639977, 0.15654032623058234]"
25,Data Science,"['Junior Data Scientist - job post', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[962, 964, 957]","[0.18150925614309238, 0.17632850338933057, 0.17361237097972465]"
26,Data Science,"['Data Scientist - job post', 'Data Engineer Intern - job post', 'Senior Data Analyst']","[966, 964, 465]","[0.3647420508053373, 0.35954216479397133, 0.35783894224349005]"
27,Data Science,"['Senior AI Developer - job post', 'AI Machine Learning Optimization Engineer H/F - job post', 'Junior Data Scientist - job post']","[1026, 873, 962]","[0.26711722393675275, 0.2538752111176207, 0.2520843749119026]"
28,Data Science,"['Senior AI Developer - job post', 'Data scientist intern - job post', 'AI Machine Learning Optimization Engineer H/F - job post']","[1026, 957, 873]","[0.2820631797897867, 0.2244359199301478, 0.22050622753901286]"
29,Data Science,"['Senior Data Analyst', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[465, 964, 957]","[0.3604307359403921, 0.3498691171380204, 0.3088038204113386]"
30,Data Science,"['Senior Data Analyst', 'Data scientist intern - job post', 'Fraud Resolution Analyst']","[465, 957, 191]","[0.22043261395883396, 0.19177531445526316, 0.17826051547021465]"
31,Data Science,"['Junior Data Scientist - job post', 'Data scientist intern - job post', 'Senior AI Developer - job post']","[962, 957, 1026]","[0.18830066113383412, 0.12666853638060663, 0.11621890167464588]"
32,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data scientist intern - job post']","[964, 465, 957]","[0.15058749105744174, 0.14155437065558119, 0.14003424436049167]"
33,Data Science,"['Sr. System Administrator', 'Senior Data Analyst', 'Data Analytics Senior Mangager']","[560, 465, 539]","[0.3469366979278251, 0.24718250669273897, 0.20505183113600958]"
34,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data Engineer - job post']","[964, 465, 965]","[0.19708247579139637, 0.16176570992639977, 0.15654032623058234]"
35,Data Science,"['Junior Data Scientist - job post', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[962, 964, 957]","[0.18150925614309238, 0.17632850338933057, 0.17361237097972465]"
36,Data Science,"['Data Scientist - job post', 'Data Engineer Intern - job post', 'Senior Data Analyst']","[966, 964, 465]","[0.3647420508053373, 0.35954216479397133, 0.35783894224349005]"
37,Data Science,"['Senior AI Developer - job post', 'AI Machine Learning Optimization Engineer H/F - job post', 'Junior Data Scientist - job post']","[1026, 873, 962]","[0.26711722393675275, 0.2538752111176207, 0.2520843749119026]"
38,Data Science,"['Senior AI Developer - job post', 'Data scientist intern - job post', 'AI Machine Learning Optimization Engineer H/F - job post']","[1026, 957, 873]","[0.2820631797897867, 0.2244359199301478, 0.22050622753901286]"
39,Data Science,"['Senior Data Analyst', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[465, 964, 957]","[0.3604307359403921, 0.3498691171380204, 0.3088038204113386]"
40,HR,"['Director - FP&A / Corporate Finance', 'Human Resources Director', 'Director of Finance']","[457, 396, 454]","[0.15356775624258936, 0.14918946289269275, 0.13801589968826716]"
41,HR,"['Human Resources Generalist', 'HR Generalist - job post', 'Sr. HR Business Partner (Hybrid/Remote Role)']","[402, 982, 481]","[0.23832988363663174, 0.20154851487817219, 0.18966817529213398]"
42,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.33192259638637334, 0.2643745850113062, 0.2410037920692276]"
43,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
44,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
45,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'Director, Human Resources']","[481, 397, 399]","[0.2779478487831867, 0.2162813067017857, 0.19776626721315638]"
46,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.37427565498916426, 0.29810857122970297, 0.26705407695499106]"
47,HR,"['Assistant Controller', 'Senior Accountant (Remote) (Remote)', 'Senior Accountant - Florham Park, NJ']","[570, 778, 573]","[0.23673939984125936, 0.21892249203051672, 0.2100747487067449]"
48,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Internship - Corporate  (Year-Round)', 'Advertising Design Intern - 2022']","[481, 849, 547]","[0.14285817205257903, 0.12384739308622468, 0.11963936810826019]"
49,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.2086983704664495, 0.1865850139639363, 0.15153138061520283]"
50,HR,"['Senior Software Developer- Full Stack (Remote)', 'C++ Embedded Engineer', 'C++ Embedded Engineer with Security Clearance']","[96, 522, 527]","[0.13654245515135802, 0.13607463664575237, 0.13408097269645042]"
51,HR,"['Director - FP&A / Corporate Finance', 'Human Resources Director', 'Director of Finance']","[457, 396, 454]","[0.15356775624258936, 0.14918946289269275, 0.13801589968826716]"
52,HR,"['Human Resources Generalist', 'HR Generalist - job post', 'Sr. HR Business Partner (Hybrid/Remote Role)']","[402, 982, 481]","[0.23832988363663174, 0.20154851487817219, 0.18966817529213398]"
53,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.33192259638637334, 0.2643745850113062, 0.2410037920692276]"
54,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
55,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
56,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'Director, Human Resources']","[481, 397, 399]","[0.2779478487831867, 0.2162813067017857, 0.19776626721315638]"
57,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.37427565498916426, 0.29810857122970297, 0.26705407695499106]"
58,HR,"['Assistant Controller', 'Senior Accountant (Remote) (Remote)', 'Senior Accountant - Florham Park, NJ']","[570, 778, 573]","[0.23673939984125936, 0.21892249203051672, 0.2100747487067449]"
59,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Internship - Corporate  (Year-Round)', 'Advertising Design Intern - 2022']","[481, 849, 547]","[0.14285817205257903, 0.12384739308622468, 0.11963936810826019]"
60,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.2086983704664495, 0.1865850139639363, 0.15153138061520283]"
61,HR,"['Senior Software Developer- Full Stack (Remote)', 'C++ Embedded Engineer', 'C++ Embedded Engineer with Security Clearance']","[96, 522, 527]","[0.13654245515135802, 0.13607463664575237, 0.13408097269645042]"
62,HR,"['Director - FP&A / Corporate Finance', 'Human Resources Director', 'Director of Finance']","[457, 396, 454]","[0.15356775624258936, 0.14918946289269275, 0.13801589968826716]"
63,HR,"['Human Resources Generalist', 'HR Generalist - job post', 'Sr. HR Business Partner (Hybrid/Remote Role)']","[402, 982, 481]","[0.23832988363663174, 0.20154851487817219, 0.18966817529213398]"
64,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.33192259638637334, 0.2643745850113062, 0.2410037920692276]"
65,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
66,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
67,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'Director, Human Resources']","[481, 397, 399]","[0.2779478487831867, 0.2162813067017857, 0.19776626721315638]"
68,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.37427565498916426, 0.29810857122970297, 0.26705407695499106]"
69,HR,"['Assistant Controller', 'Senior Accountant (Remote) (Remote)', 'Senior Accountant - Florham Park, NJ']","[570, 778, 573]","[0.23673939984125936, 0.21892249203051672, 0.2100747487067449]"
70,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Internship - Corporate  (Year-Round)', 'Advertising Design Intern - 2022']","[481, 849, 547]","[0.14285817205257903, 0.12384739308622468, 0.11963936810826019]"
71,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.2086983704664495, 0.1865850139639363, 0.15153138061520283]"
72,HR,"['Senior Software Developer- Full Stack (Remote)', 'C++ Embedded Engineer', 'C++ Embedded Engineer with Security Clearance']","[96, 522, 527]","[0.13654245515135802, 0.13607463664575237, 0.13408097269645042]"
73,HR,"['Director - FP&A / Corporate Finance', 'Human Resources Director', 'Director of Finance']","[457, 396, 454]","[0.15356775624258936, 0.14918946289269275, 0.13801589968826716]"
74,HR,"['Human Resources Generalist', 'HR Generalist - job post', 'Sr. HR Business Partner (Hybrid/Remote Role)']","[402, 982, 481]","[0.23832988363663174, 0.20154851487817219, 0.18966817529213398]"
75,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.33192259638637334, 0.2643745850113062, 0.2410037920692276]"
76,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
77,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.27560176869875824, 0.2195153449068027, 0.19664804527331775]"
78,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'Director, Human Resources']","[481, 397, 399]","[0.2779478487831867, 0.2162813067017857, 0.19776626721315638]"
79,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.37427565498916426, 0.29810857122970297, 0.26705407695499106]"
80,HR,"['Assistant Controller', 'Senior Accountant (Remote) (Remote)', 'Senior Accountant - Florham Park, NJ']","[570, 778, 573]","[0.23673939984125936, 0.21892249203051672, 0.2100747487067449]"
81,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Internship - Corporate  (Year-Round)', 'Advertising Design Intern - 2022']","[481, 849, 547]","[0.14285817205257903, 0.12384739308622468, 0.11963936810826019]"
82,HR,"['Sr. HR Business Partner (Hybrid/Remote Role)', 'Human Resources Manager', 'HR Generalist - job post']","[481, 397, 982]","[0.2086983704664495, 0.1865850139639363, 0.15153138061520283]"
83,HR,"['Senior Software Developer- Full Stack (Remote)', 'C++ Embedded Engineer', 'C++ Embedded Engineer with Security Clearance']","[96, 522, 527]","[0.13654245515135802, 0.13607463664575237, 0.13408097269645042]"
84,Advocate,"['Litigation - General/Commercial Attorney in Brooklyn, NY', 'Staff Attorney', 'Attorney, CAMBA Legal Services, Brooklyn']","[300, 305, 303]","[0.22564945630048905, 0.18534337311131047, 0.17130943644684732]"
85,Advocate,"['Senior Accountant (Remote) (Remote)', 'Vice President/Practice Leader of Tax', 'Import&Export Specialist - job post']","[778, 187, 871]","[0.18452113047589938, 0.17941720402131595, 0.11928297956597725]"
86,Advocate,"['Commercial Contracts Lawyer', 'Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn']","[752, 302, 303]","[0.31543086493765776, 0.26970395320703183, 0.2528845296993518]"
87,Advocate,"['Litigation - General/Commercial Attorney in Brooklyn, NY', 'Commercial Litigation Attorney', 'Enforcement Attorney']","[300, 645, 302]","[0.248734612524188, 0.20075503237121717, 0.15002586711051472]"
88,Advocate,"['Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn', 'Attorney in Brooklyn, NY']","[302, 303, 304]","[0.22631108787309206, 0.21857100557974085, 0.2012992627133582]"
89,Advocate,"['Attorney, CAMBA Legal Services, Brooklyn', 'Staff Attorney', 'Commercial Litigation Attorney']","[303, 305, 645]","[0.1292265880718051, 0.11801714804300623, 0.11681144886237715]"
90,Advocate,"['Mid-Senior level associate, Corporate M&A - job post', 'Attorney in Brooklyn, NY', 'College and Career Advisor - Cuyahoga County']","[997, 298, 155]","[0.10140728023954096, 0.09988323494088176, 0.09806083518402421]"
91,Advocate,"['Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn', 'Commercial Contracts Lawyer']","[302, 303, 752]","[0.2814657876400898, 0.278231636295377, 0.27360547973934846]"
92,Advocate,"['Commercial Contracts Lawyer', 'Attorney, CAMBA Legal Services, Brooklyn', 'Enforcement Attorney']","[752, 303, 302]","[0.19290202771216908, 0.16744368146132307, 0.15624358636147376]"
93,Advocate,"['Software test Engineer ( Entry Level )', 'Executive Assistant to CEO', 'Executive Administrator']","[675, 553, 620]","[0.0657060983820176, 0.0625677533582332, 0.06019760790069942]"
94,Advocate,"['Litigation - General/Commercial Attorney in Brooklyn, NY', 'Staff Attorney', 'Attorney, CAMBA Legal Services, Brooklyn']","[300, 305, 303]","[0.22564945630048905, 0.18534337311131047, 0.17130943644684732]"
95,Advocate,"['Senior Accountant (Remote) (Remote)', 'Vice President/Practice Leader of Tax', 'Import&Export Specialist - job post']","[778, 187, 871]","[0.18452113047589938, 0.17941720402131595, 0.11928297956597725]"
96,Advocate,"['Commercial Contracts Lawyer', 'Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn']","[752, 302, 303]","[0.31543086493765776, 0.26970395320703183, 0.2528845296993518]"
97,Advocate,"['Litigation - General/Commercial Attorney in Brooklyn, NY', 'Commercial Litigation Attorney', 'Enforcement Attorney']","[300, 645, 302]","[0.248734612524188, 0.20075503237121717, 0.15002586711051472]"
98,Advocate,"['Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn', 'Attorney in Brooklyn, NY']","[302, 303, 304]","[0.22631108787309206, 0.21857100557974085, 0.2012992627133582]"
99,Advocate,"['Attorney, CAMBA Legal Services, Brooklyn', 'Staff Attorney', 'Commercial Litigation Attorney']","[303, 305, 645]","[0.1292265880718051, 0.11801714804300623, 0.11681144886237715]"
100,Advocate,"['Mid-Senior level associate, Corporate M&A - job post', 'Attorney in Brooklyn, NY', 'College and Career Advisor - Cuyahoga County']","[997, 298, 155]","[0.10140728023954096, 0.09988323494088176, 0.09806083518402421]"
101,Advocate,"['Enforcement Attorney', 'Attorney, CAMBA Legal Services, Brooklyn', 'Commercial Contracts Lawyer']","[302, 303, 752]","[0.2814657876400898, 0.278231636295377, 0.27360547973934846]"
102,Advocate,"['Commercial Contracts Lawyer', 'Attorney, CAMBA Legal Services, Brooklyn', 'Enforcement Attorney']","[752, 303, 302]","[0.19290202771216908, 0.16744368146132307, 0.15624358636147376]"
103,Advocate,"['Software test Engineer ( Entry Level )', 'Executive Assistant to CEO', 'Executive Administrator']","[675, 553, 620]","[0.0657060983820176, 0.0625677533582332, 0.06019760790069942]"
104,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
105,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
106,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
107,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
108,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
109,Arts,"['Diversion Investigator', 'Vice President & Chief Financial Officer', 'Career Specialist Instructor']","[225, 804, 157]","[0.09636340285054405, 0.07863172168295049, 0.07634088684852254]"
110,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
111,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
112,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
113,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
114,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
115,Arts,"['Diversion Investigator', 'Vice President & Chief Financial Officer', 'Career Specialist Instructor']","[225, 804, 157]","[0.09636340285054405, 0.07863172168295049, 0.07634088684852254]"
116,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
117,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
118,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
119,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
120,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
121,Arts,"['Diversion Investigator', 'Vice President & Chief Financial Officer', 'Career Specialist Instructor']","[225, 804, 157]","[0.09636340285054405, 0.07863172168295049, 0.07634088684852254]"
122,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
123,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
124,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
125,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
126,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
127,Arts,"['Diversion Investigator', 'Vice President & Chief Financial Officer', 'Career Specialist Instructor']","[225, 804, 157]","[0.09636340285054405, 0.07863172168295049, 0.07634088684852254]"
128,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
129,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
130,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
131,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
132,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
133,Arts,"['Diversion Investigator', 'Vice President & Chief Financial Officer', 'Career Specialist Instructor']","[225, 804, 157]","[0.09636340285054405, 0.07863172168295049, 0.07634088684852254]"
134,Arts,"['Bilingual Spanish CUSTOMER SERVICE REPRESENTATIVE Work From Home...', 'CDL A Regional Drivers', 'Customer Service Representative / Inside Sales']","[256, 209, 504]","[0.10858961929390366, 0.10807667713853665, 0.10691308758669964]"
135,Arts,"['Ecole primaire oasis proche ghandi recherche enseignant-e d arts plastiques - job post', 'COACHS ARTS MARTIAUX - job post', 'Executive Vice President & Chief Executive Officer (CEO), Medical...']","[902, 900, 17]","[0.09233153922130666, 0.0873522970522439, 0.086755694408511]"
136,Arts,"['Marketing & Communications Intern', 'Sr. Product Marketing Manager - Growth, Music Industry', 'Web Developer']","[544, 470, 10]","[0.2737044906046364, 0.2132673830088295, 0.2058585948589885]"
137,Arts,"['Aide maîtresse maternelle - job post', 'Special Education Teacher 2022/2023 School Year', 'Art Teacher']","[909, 337, 377]","[0.1439118190568524, 0.135487046354014, 0.11520562710771409]"
138,Arts,"['Fitness Coach', 'PE TEACHER - job post', 'COACHS ARTS MARTIAUX - job post']","[284, 914, 900]","[0.1211424529412625, 0.11416681827936859, 0.0650450542814329]"
